dataframe: MonthlyRate JobLevel DistanceFromHome Agesil: 0.3115742672363388, method: median, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome DistanceFromHome Agesil: 0.30606789882431445, method: single, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome DistanceFromHome Agesil: 0.32022140750134803, method: average, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome DistanceFromHome Agesil: 0.31670683374726566, method: weighted, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome DistanceFromHome Agesil: 0.31426714957946283, method: ward, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyIncome DistanceFromHome Agesil: 0.307674574939766, method: average, clusters: 4
=================================================dataframe: StockOptionLevel MonthlyIncome DistanceFromHome Agesil: 0.30148738485856513, method: ward, clusters: 4
=================================================dataframe: JobLevel MonthlyRate DistanceFromHome Agesil: 0.3115742672363387, method: median, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyRate DistanceFromHome Agesil: 0.303030689848961, method: median, clusters: 3
=================================================dataframe: StockOptionLevel NumCompaniesWorked DistanceFromHome Agesil: 0.317019347946202, method: single, clusters: 3
=================================================dataframe: StockOptionLevel RateIncome DistanceFromHome Agesil: 0.329644929061866, method: centroid, clusters: 3
=================================================dataframe: MonthlyIncome StockOptionLevel DistanceFromHome Agesil: 0.3060678988243145, method: single, clusters: 3
=================================================dataframe: MonthlyIncome StockOptionLevel DistanceFromHome Agesil: 0.3202214075013481, method: average, clusters: 3
=================================================dataframe: MonthlyIncome StockOptionLevel DistanceFromHome Agesil: 0.31670683374726566, method: weighted, clusters: 3
=================================================dataframe: MonthlyIncome StockOptionLevel DistanceFromHome Agesil: 0.31426714957946283, method: ward, clusters: 3
=================================================dataframe: MonthlyIncome StockOptionLevel DistanceFromHome Agesil: 0.307674574939766, method: average, clusters: 4
=================================================dataframe: MonthlyIncome StockOptionLevel DistanceFromHome Agesil: 0.30148738485856513, method: ward, clusters: 4
=================================================dataframe: MonthlyRate StockOptionLevel DistanceFromHome Agesil: 0.303030689848961, method: median, clusters: 3
=================================================dataframe: NumCompaniesWorked StockOptionLevel DistanceFromHome Agesil: 0.3170193479462767, method: single, clusters: 3
=================================================dataframe: RateIncome StockOptionLevel DistanceFromHome Agesil: 0.329644929061866, method: centroid, clusters: 3
=================================================dataframe: TrainingTimesLastYear StockOptionLevel DistanceFromHome Agesil: 0.30096468941439264, method: ward, clusters: 3
=================================================dataframe: StockOptionLevel TrainingTimesLastYear DistanceFromHome Agesil: 0.30096468941275206, method: ward, clusters: 3
=================================================dataframe: MonthlyRate DistanceFromHome JobLevel Agesil: 0.3115742672363387, method: median, clusters: 3
=================================================dataframe: DistanceFromHome MonthlyRate JobLevel Agesil: 0.3115742672363387, method: median, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyRate JobLevel Agesil: 0.3117122017338979, method: single, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyRate JobLevel Agesil: 0.3117122017338979, method: average, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyRate JobLevel Agesil: 0.3117122017338979, method: centroid, clusters: 3
=================================================dataframe: StockOptionLevel MonthlyRate JobLevel Agesil: 0.3117122017338979, method: centroid, clusters: 4
=================================================dataframe: StockOptionLevel PercentSalaryHike JobLevel Agesil: 0.32589901164868107, method: single, clusters: 3
=================================================dataframe: TrainingTimesLastYear PercentSalaryHike JobLevel Agesil: 0.3319093773976723, method: median, clusters: 3
=================================================dataframe: TrainingTimesLastYear PercentSalaryHike JobLevel Agesil: 0.3319093773976723, method: median, clusters: 4
=================================================dataframe: MonthlyRate StockOptionLevel JobLevel Agesil: 0.3117122017338979, method: single, clusters: 3
=================================================dataframe: MonthlyRate StockOptionLevel JobLevel Agesil: 0.3117122017338979, method: average, clusters: 3
=================================================dataframe: MonthlyRate StockOptionLevel JobLevel Agesil: 0.3117122017338979, method: centroid, clusters: 3
=================================================dataframe: MonthlyRate StockOptionLevel JobLevel Agesil: 0.3117122017338979, method: centroid, clusters: 4
=================================================dataframe: PercentSalaryHike StockOptionLevel JobLevel Agesil: 0.32589901164868107, method: single, clusters: 3
=================================================dataframe: YearsInCurrentRole StockOptionLevel JobLevel Agesil: 0.3388656530520951, method: single, clusters: 3
=================================================dataframe: PercentSalaryHike TrainingTimesLastYear JobLevel Agesil: 0.3319093773976567, method: median, clusters: 3
=================================================dataframe: PercentSalaryHike TrainingTimesLastYear JobLevel Agesil: 0.3319093773976567, method: median, clusters: 4
=================================================dataframe: StockOptionLevel YearsInCurrentRole JobLevel Agesil: 0.3388656530517424, method: single, clusters: 3
=================================================dataframe: StockOptionLevel DistanceFromHome MonthlyIncome Agesil: 0.3060678988243671, method: single, clusters: 3
=================================================dataframe: StockOptionLevel DistanceFromHome MonthlyIncome Agesil: 0.3202214075014046, method: average, clusters: 3
=================================================dataframe: StockOptionLevel DistanceFromHome MonthlyIncome Agesil: 0.3167068337473238, method: weighted, clusters: 3
=================================================dataframe: StockOptionLevel DistanceFromHome MonthlyIncome Agesil: 0.3142671495795193, method: ward, clusters: 3
=================================================dataframe: StockOptionLevel DistanceFromHome MonthlyIncome Agesil: 0.30767457493983935, method: average, clusters: 4
=================================================dataframe: StockOptionLevel DistanceFromHome MonthlyIncome Agesil: 0.3014873848586386, method: ward, clusters: 4
