,Age,Attrition,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,27.0,Yes,763,Sales,15,College,Medical,Low,Male,59,Low,2,Sales Executive,Very High,Divorced,4298.0,22098,6,Yes,14,Excellent,Very High,2,7,1.0,Good,2.0,2,2,2
2,56.0,No,150,Research & Development,2,Master,Technical Degree,Very High,Male,60,High,2,Manufacturing Director,Very High,Divorced,6306.0,17433,2,No,11,Outstanding,High,1,12,2.0,Good,13.0,3,1,4
3,41.0,Yes,359,Human Resources,18,Doctor,Human Resources,Very High,Male,89,Very High,1,Human Resources,Low,Married,6430.0,21495,0,No,17,Excellent,High,0,2,4.0,Better,3.0,0,0,0
7,54.0,No,1302,Research & Development,6,Master,Life Sciences,Low,Female,80,Very High,2,Laboratory Technician,Low,Married,4440.0,19711,3,Yes,13,Excellent,Very High,1,9,3.0,Better,5.0,2,0,2
8,45.0,No,1402,Sales,28,Master,Life Sciences,Medium,Female,98,Medium,1,Sales Representative,High,Married,8865.0,26204,0,No,23,Excellent,Low,2,6,2.0,Better,2.5,3,4,2
9,37.0,No,1282,Research & Development,5,Bachelor,Other,High,Male,58,High,5,Manager,High,Divorced,2064.0,10735,4,No,11,Excellent,Very High,1,26,2.0,Good,1.0,13,4,8
11,33.5,No,465,Research & Development,14,Bachelor,Life Sciences,Low,Female,56,High,1,Research Scientist,High,Divorced,6583.0,4609,4,No,12,Excellent,Low,1,13,4.0,Better,5.0,8,1,8
12,41.0,No,1253,Research & Development,10,Below College,Medical,High,Male,65,High,3,Research Director,High,Single,2238.0,7914,7,No,21,Outstanding,High,0,9,2.0,Better,5.0,3,2,2
13,18.0,No,663,Research & Development,9,Master,Other,High,Male,81,High,2,Laboratory Technician,High,Divorced,1420.0,23099,3,No,11,Excellent,High,2,11,2.0,Best,0.0,7,0,7
14,22.0,No,954,Sales,9,Bachelor,Marketing,Very High,Female,44,High,2,Sales Executive,Very High,Single,4171.0,5099,1,No,14,Excellent,Low,0,7,3.0,Better,3.0,7,0,7
15,34.0,No,635,Sales,10,Master,Medical,Medium,Female,32,High,3,Sales Executive,Very High,Single,6687.0,15318,1,No,14,MISSING,Very High,0,10,2.0,Good,14.0,3,9,7
