Age,Attrition,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
27.0,Yes,763,Sales,15,College,Medical,Low,Male,59,Low,2,Sales Executive,Very High,Divorced,4298.0,22098,6,Yes,14,Excellent,Very High,2,7,1.0,Good,2.0,2,2,2
30.0,Yes,1079,Sales,16,Master,Marketing,Low,Male,70,High,3,Sales Executive,High,Married,5304.0,19002,2,No,13,Outstanding,Low,3,10,2.0,Better,8.0,0,0,0
56.0,No,150,Research & Development,2,Master,Technical Degree,Very High,Male,60,High,2,Manufacturing Director,Very High,Divorced,6306.0,17433,2,No,11,Outstanding,High,1,12,2.0,Good,13.0,3,1,4
41.0,Yes,359,Human Resources,18,Doctor,Human Resources,Very High,Male,89,Very High,1,Human Resources,Low,Married,6430.0,21495,0,No,17,Excellent,High,0,2,4.0,Better,3.0,0,0,0
42.0,No,642,Research & Development,1,Bachelor,Life Sciences,Very High,Male,76,High,1,Research Scientist,Very High,Married,2766.0,21412,3,No,22,Outstanding,Low,1,12,6.0,Better,5.0,3,1,0
42.0,No,688,Sales,7,Bachelor,Life Sciences,High,Male,44,Medium,3,Manager,Very High,Divorced,4332.0,25291,9,No,21,Excellent,High,1,10,2.0,Good,20.0,4,0,1
40.0,No,684,Research & Development,6,Bachelor,Life Sciences,Low,Female,51,High,5,Research Director,High,Single,5605.0,6462,7,No,13,Excellent,High,0,23,2.0,Better,20.0,18,15,15
54.0,No,1302,Research & Development,6,Master,Life Sciences,Low,Female,80,Very High,2,Laboratory Technician,Low,Married,4440.0,19711,3,Yes,13,Excellent,Very High,1,9,3.0,Better,5.0,2,0,2
45.0,No,1402,Sales,28,Master,Life Sciences,Medium,Female,98,Medium,1,Sales Representative,High,Married,8865.0,26204,0,No,23,Excellent,Low,2,6,2.0,Better,2.5,3,4,2
37.0,No,1282,Research & Development,5,Bachelor,Other,High,Male,58,High,5,Manager,High,Divorced,2064.0,10735,4,No,11,Excellent,Very High,1,26,2.0,Good,1.0,13,4,8
36.0,No,1381,Sales,4,Master,Marketing,High,Female,72,High,2,Sales Executive,High,Married,8008.0,12740,9,No,15,Excellent,Low,1,6,6.0,Better,7.5,2,1,2
33.5,No,465,Research & Development,14,Bachelor,Life Sciences,Low,Female,56,High,1,Research Scientist,High,Divorced,6583.0,4609,4,No,12,Excellent,Low,1,13,4.0,Better,5.0,8,1,8
41.0,No,1253,Research & Development,10,Below College,Medical,High,Male,65,High,3,Research Director,High,Single,2238.0,7914,7,No,21,Outstanding,High,0,9,2.0,Better,5.0,3,2,2
