Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
27.0,Yes,Sales,3.8729833462074175,College,Medical,Low,Male,Low,1.4142135623730951,Sales Executive,Very High,Divorced,8.365905077202456,148.65396059304982,2.449489742783178,Yes,3.741657386773941,Excellent,Very High,1.4142135623730951,2.6457513110645907,1.0,Good,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
30.0,Yes,Sales,4.0,Master,Marketing,Low,Male,High,1.7320508075688772,Sales Executive,High,Married,8.576216531865699,137.84774209249858,1.4142135623730951,No,3.6055512754639887,Outstanding,Low,1.7320508075688772,3.1622776601683795,2.0,Better,2.8284271247461903,0.0,0.0,0.0
56.0,No,Research & Development,1.4142135623730951,Master,Technical Degree,Very High,Male,High,1.4142135623730951,Manufacturing Director,Very High,Divorced,8.749256840105009,132.0340865079923,1.4142135623730951,No,3.3166247903554,Outstanding,High,1.0,3.4641016151377544,2.0,Good,3.6055512754639887,1.7320508075688772,1.0,2.0
41.0,Yes,Human Resources,4.242640687119285,Doctor,Human Resources,Very High,Male,Very High,1.0,Human Resources,Low,Married,8.768729817231666,146.6117321362789,0.0,No,4.123105625617661,Excellent,High,0.0,1.4142135623730951,4.0,Better,1.7320508075688772,0.0,0.0,0.0
42.0,No,Sales,2.6457513110645907,Bachelor,Life Sciences,High,Male,Medium,1.7320508075688772,Manager,Very High,Divorced,8.37378460812088,159.03144343179434,3.0,No,4.58257569495584,Excellent,High,1.0,3.1622776601683795,2.0,Good,4.47213595499958,2.0,0.0,1.0
40.0,No,Research & Development,2.449489742783178,Bachelor,Life Sciences,Low,Female,High,2.23606797749979,Research Director,High,Single,8.631414335506259,80.38656604184555,2.6457513110645907,No,3.6055512754639887,Excellent,High,0.0,4.795831523312719,2.0,Better,4.47213595499958,4.242640687119285,3.8729833462074175,3.8729833462074175
54.0,No,Research & Development,2.449489742783178,Master,Life Sciences,Low,Female,Very High,1.4142135623730951,Laboratory Technician,Low,Married,8.39840965542627,140.3958688850922,1.7320508075688772,Yes,3.6055512754639887,Excellent,Very High,1.0,3.0,3.0,Better,2.23606797749979,1.4142135623730951,0.0,1.4142135623730951
45.0,No,Sales,5.291502622129181,Master,Life Sciences,Medium,Female,Medium,1.0,Sales Representative,High,Married,9.089866218508307,161.8764961320821,0.0,No,4.795831523312719,Excellent,Low,1.4142135623730951,2.449489742783178,2.0,Better,1.5811388300841898,1.7320508075688772,2.0,1.4142135623730951
37.0,No,Research & Development,2.23606797749979,Bachelor,Other,High,Male,High,2.23606797749979,Manager,High,Divorced,7.632401126601452,103.60984509205677,2.0,No,3.3166247903554,Excellent,Very High,1.0,5.0990195135927845,2.0,Good,1.0,3.6055512754639887,2.0,2.8284271247461903
33.5,No,Research & Development,3.741657386773941,Bachelor,Life Sciences,Low,Female,High,1.0,Research Scientist,High,Divorced,8.792245847467878,67.88961628997471,2.0,No,3.4641016151377544,Excellent,Low,1.0,3.6055512754639887,4.0,Better,2.23606797749979,2.8284271247461903,1.0,2.8284271247461903
41.0,No,Research & Development,3.1622776601683795,Below College,Medical,High,Male,High,1.7320508075688772,Research Director,High,Single,7.71333788887187,88.96066546513691,2.6457513110645907,No,4.58257569495584,Outstanding,High,0.0,3.0,2.0,Better,2.23606797749979,1.7320508075688772,1.4142135623730951,1.4142135623730951
18.0,No,Research & Development,3.0,Master,Other,High,Male,High,1.4142135623730951,Laboratory Technician,High,Divorced,7.258412150595308,151.98355174162762,1.7320508075688772,No,3.3166247903554,Excellent,High,1.4142135623730951,3.3166247903554,2.0,Best,0.0,2.6457513110645907,0.0,2.6457513110645907
22.0,No,Sales,3.0,Bachelor,Marketing,Very High,Female,High,1.4142135623730951,Sales Executive,Very High,Single,8.335911094196945,71.40728254176881,1.0,No,3.741657386773941,Excellent,Low,0.0,2.6457513110645907,3.0,Better,1.7320508075688772,2.6457513110645907,0.0,2.6457513110645907
34.0,No,Sales,3.1622776601683795,Master,Medical,Medium,Female,High,1.7320508075688772,Sales Executive,Very High,Single,8.807920622053981,123.76590806841764,1.0,No,3.741657386773941,MISSING,Very High,0.0,3.1622776601683795,2.0,Good,3.741657386773941,1.7320508075688772,3.0,2.6457513110645907
47.0,Yes,Research & Development,5.385164807134505,Below College,Medical,Medium,Female,High,1.4142135623730951,Healthcare Representative,Low,Married,9.530247591722699,106.55515003977987,2.6457513110645907,Yes,4.358898943540674,Excellent,Medium,0.0,4.123105625617661,2.0,Better,4.69041575982343,0.0,0.0,0.0
33.0,Yes,Research & Development,3.8729833462074175,Bachelor,Medical,High,Female,High,1.0,Laboratory Technician,High,Married,8.745761999375512,78.94935085230276,1.0,No,3.4641016151377544,MISSING,High,1.0,1.4142135623730951,2.0,Good,3.1622776601683795,1.4142135623730951,1.4142135623730951,1.4142135623730951
35.0,Yes,Research & Development,1.0,College,Life Sciences,Low,Male,Low,1.0,Research Scientist,Medium,Single,7.784889295655098,62.22539674441618,2.6457513110645907,Yes,3.6055512754639887,Excellent,Very High,0.0,3.1622776601683795,2.0,Better,1.0,2.6457513110645907,1.7320508075688772,2.6457513110645907
26.0,No,Research & Development,4.69041575982343,Bachelor,Life Sciences,Very High,Male,Low,1.0,Laboratory Technician,High,Single,8.464003362902119,138.6542462386205,0.0,No,3.8729833462074175,Excellent,High,0.0,2.449489742783178,3.0,Better,2.23606797749979,2.0,2.0,1.7320508075688772
31.0,No,Research & Development,2.449489742783178,Bachelor,Life Sciences,High,Female,High,1.0,Laboratory Technician,Very High,Married,7.741533589281827,133.26289806243898,1.0,Yes,3.6055512754639887,Excellent,High,1.0,1.7320508075688772,2.0,Better,1.7320508075688772,1.4142135623730951,0.0,1.4142135623730951
26.0,No,Research & Development,2.23606797749979,Master,Life Sciences,Medium,Male,Medium,1.0,Research Scientist,Low,Married,8.393894975071744,114.3328474236516,3.0,Yes,3.741657386773941,Outstanding,Very High,1.0,2.449489742783178,2.0,Best,2.8284271247461903,1.0,0.0,0.0
55.0,Yes,Research & Development,4.795831523312719,College,Life Sciences,Medium,Male,Medium,1.4142135623730951,Manufacturing Director,High,Married,8.596928159435091,124.4869471069156,1.7320508075688772,Yes,3.6055512754639887,Excellent,Low,0.0,2.8284271247461903,4.0,Better,3.1622776601683795,0.0,0.0,1.0
31.0,No,Sales,4.795831523312719,Master,Marketing,Medium,Female,High,1.4142135623730951,Sales Executive,High,Single,8.336630087637149,100.16985574512924,0.0,No,4.47213595499958,Excellent,High,0.0,3.1622776601683795,3.0,Better,1.0,2.23606797749979,2.8284271247461903,2.6457513110645907
30.0,No,Research & Development,1.4142135623730951,College,Life Sciences,Very High,Male,High,1.4142135623730951,Manufacturing Director,High,Single,8.32239411311117,125.83322295800899,1.4142135623730951,No,3.3166247903554,Excellent,Very High,0.0,2.23606797749979,3.0,Good,2.0,1.4142135623730951,0.0,1.4142135623730951
27.5,No,Sales,1.4142135623730951,Bachelor,Medical,Very High,Male,Medium,1.4142135623730951,Sales Executive,Medium,Married,7.2392149737798075,115.0782342582645,1.4142135623730951,No,3.741657386773941,MISSING,Very High,0.0,4.123105625617661,2.0,Good,1.0,2.449489742783178,0.0,2.8284271247461903
33.5,No,Research & Development,4.898979485566356,Bachelor,Life Sciences,Very High,Male,High,2.0,Manufacturing Director,High,Married,7.833203948641058,64.50581369148055,1.7320508075688772,Yes,4.242640687119285,MISSING,Very High,1.0,4.69041575982343,2.0,Better,1.4142135623730951,3.3166247903554,1.0,2.23606797749979
35.0,No,Research & Development,2.0,College,Life Sciences,Low,Female,High,1.0,Research Scientist,High,Divorced,8.434028950155469,56.63920903402519,1.0,No,3.3166247903554,Excellent,Medium,1.7320508075688772,2.23606797749979,2.0,Better,1.5811388300841898,1.7320508075688772,0.0,1.7320508075688772
39.0,No,Sales,1.4142135623730951,Doctor,Marketing,Medium,Male,High,1.4142135623730951,Sales Executive,Very High,Married,8.320691571048451,140.20698984002192,1.4142135623730951,No,3.741657386773941,Excellent,Low,1.0,3.741657386773941,2.0,Better,2.6457513110645907,2.6457513110645907,2.449489742783178,2.6457513110645907
47.0,No,Research & Development,1.4142135623730951,Master,Medical,Low,Male,High,2.0,Research Director,High,Married,7.632401126601452,163.41052597675585,1.7320508075688772,No,4.358898943540674,Excellent,Medium,1.4142135623730951,5.0990195135927845,3.0,Best,2.23606797749979,4.123105625617661,2.23606797749979,2.449489742783178
51.0,Yes,Research & Development,1.7320508075688772,Master,Life Sciences,High,Female,Medium,1.0,Research Scientist,Very High,Married,9.699349742461278,64.98461356351979,0.0,Yes,3.3166247903554,Excellent,Medium,1.0,1.0,2.0,Better,4.47213595499958,0.0,0.0,0.0
38.0,No,Sales,1.4142135623730951,Master,Marketing,High,Male,High,1.4142135623730951,Sales Executive,Medium,Married,9.035272443893538,59.464274989274024,2.6457513110645907,No,3.3166247903554,Excellent,Very High,1.0,2.0,2.0,Bad,1.0,0.0,0.0,0.0
36.0,No,Sales,1.7320508075688772,Master,Life Sciences,Medium,Male,High,1.4142135623730951,Sales Executive,Very High,Single,8.212839584676484,70.57619995437554,2.8284271247461903,Yes,3.4641016151377544,Excellent,High,0.0,4.358898943540674,2.0,Better,1.0,0.0,0.0,0.0
29.0,No,Research & Development,4.795831523312719,Bachelor,Medical,Medium,Male,High,1.4142135623730951,Laboratory Technician,Medium,Married,8.3707791729607,158.24980252752292,2.0,No,3.4641016151377544,Excellent,High,1.0,4.123105625617661,1.0,Best,3.1622776601683795,1.4142135623730951,1.0,1.4142135623730951
34.0,No,Sales,5.291502622129181,Bachelor,Marketing,Very High,Male,Medium,1.4142135623730951,Sales Executive,High,Married,8.302265794873367,94.75230867899737,1.0,No,4.58257569495584,Excellent,Very High,1.4142135623730951,2.8284271247461903,3.0,Better,1.7320508075688772,2.6457513110645907,1.0,2.6457513110645907
27.5,Yes,Research & Development,5.385164807134505,Master,Life Sciences,Low,Female,High,1.7320508075688772,Manager,Medium,Married,7.863266724009573,101.3311403271472,1.0,Yes,3.4641016151377544,Excellent,Very High,1.0,3.1622776601683795,2.0,Good,1.0,2.6457513110645907,3.0,3.0
41.0,No,Research & Development,2.6457513110645907,Bachelor,Life Sciences,Very High,Male,High,1.0,Laboratory Technician,Low,Single,9.035034150076132,139.22643427165693,1.7320508075688772,No,3.741657386773941,Excellent,Medium,0.0,3.3166247903554,2.0,Better,3.1622776601683795,1.4142135623730951,1.0,1.4142135623730951
35.0,No,Research & Development,2.6457513110645907,Bachelor,Life Sciences,Low,Female,High,2.23606797749979,Manager,Low,Married,9.112617283447568,62.08059278067503,2.23606797749979,No,3.3166247903554,Outstanding,Very High,0.0,5.744562646538029,2.0,Bad,3.0,2.8284271247461903,3.3166247903554,3.1622776601683795
