,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,27.0,Yes,Sales,15.000000000000005,College,Medical,Low,Male,Low,2.0000000000000004,Sales Executive,Very High,Divorced,4298.0,22098.000000000007,5.999999999999999,Yes,14.0,Excellent,Very High,2.0000000000000004,7.000000000000001,1.0,Good,2.0000000000000004,2.0000000000000004,2.0000000000000004,2.0000000000000004
1,30.0,Yes,Sales,16.0,Master,Marketing,Low,Male,High,2.9999999999999996,Sales Executive,High,Married,5304.000000000001,19002.000000000004,2.0000000000000004,No,12.999999999999996,Outstanding,Low,2.9999999999999996,10.000000000000002,2.0,Better,8.000000000000002,0.0,0.0,0.0
2,56.0,No,Research & Development,2.0000000000000004,Master,Technical Degree,Very High,Male,High,2.0000000000000004,Manufacturing Director,Very High,Divorced,6306.0000000000155,17432.999999999993,2.0000000000000004,No,11.0,Outstanding,High,1.0,11.999999999999998,2.0,Good,12.999999999999996,2.9999999999999996,1.0,4.0
3,41.0,Yes,Human Resources,17.999999999999996,Doctor,Human Resources,Very High,Male,Very High,1.0,Human Resources,Low,Married,6430.0000000000055,21494.999999999996,0.0,No,17.0,Excellent,High,0.0,2.0000000000000004,4.0,Better,2.9999999999999996,0.0,0.0,0.0
4,42.0,No,Sales,7.000000000000001,Bachelor,Life Sciences,High,Male,Medium,2.9999999999999996,Manager,Very High,Divorced,4331.999999999996,25291.000000000004,9.0,No,21.0,Excellent,High,1.0,10.000000000000002,2.0,Good,20.000000000000004,4.0,0.0,1.0
5,40.0,No,Research & Development,5.999999999999999,Bachelor,Life Sciences,Low,Female,High,5.000000000000001,Research Director,High,Single,5604.999999999991,6461.999999999997,7.000000000000001,No,12.999999999999996,Excellent,High,0.0,22.999999999999996,2.0,Better,20.000000000000004,17.999999999999996,15.000000000000005,15.000000000000005
6,54.0,No,Research & Development,5.999999999999999,Master,Life Sciences,Low,Female,Very High,2.0000000000000004,Laboratory Technician,Low,Married,4440.000000000001,19711.0,2.9999999999999996,Yes,12.999999999999996,Excellent,Very High,1.0,9.0,3.0,Better,5.000000000000001,2.0000000000000004,0.0,2.0000000000000004
7,45.0,No,Sales,28.000000000000004,Master,Life Sciences,Medium,Female,Medium,1.0,Sales Representative,High,Married,8864.99999999999,26203.999999999993,0.0,No,22.999999999999996,Excellent,Low,2.0000000000000004,5.999999999999999,2.0,Better,2.5000000000000004,2.9999999999999996,4.0,2.0000000000000004
8,37.0,No,Research & Development,5.000000000000001,Bachelor,Other,High,Male,High,5.000000000000001,Manager,High,Divorced,2063.999999999997,10735.000000000002,4.0,No,11.0,Excellent,Very High,1.0,25.999999999999996,2.0,Good,1.0,12.999999999999996,4.0,8.000000000000002
9,33.5,No,Research & Development,14.0,Bachelor,Life Sciences,Low,Female,High,1.0,Research Scientist,High,Divorced,6583.000000000011,4609.0,4.0,No,11.999999999999998,Excellent,Low,1.0,12.999999999999996,4.0,Better,5.000000000000001,8.000000000000002,1.0,8.000000000000002
10,41.0,No,Research & Development,10.000000000000002,Below College,Medical,High,Male,High,2.9999999999999996,Research Director,High,Single,2237.9999999999995,7914.000000000004,7.000000000000001,No,21.0,Outstanding,High,0.0,9.0,2.0,Better,5.000000000000001,2.9999999999999996,2.0000000000000004,2.0000000000000004
11,18.0,No,Research & Development,9.0,Master,Other,High,Male,High,2.0000000000000004,Laboratory Technician,High,Divorced,1420.0000000000018,23099.0,2.9999999999999996,No,11.0,Excellent,High,2.0000000000000004,11.0,2.0,Best,0.0,7.000000000000001,0.0,7.000000000000001
12,22.0,No,Sales,9.0,Bachelor,Marketing,Very High,Female,High,2.0000000000000004,Sales Executive,Very High,Single,4170.999999999998,5099.0,1.0,No,14.0,Excellent,Low,0.0,7.000000000000001,3.0,Better,2.9999999999999996,7.000000000000001,0.0,7.000000000000001
