,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,RateIncome,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,FractionYearsAtCompany
0,27.0,Yes,Sales,3.8729833462074175,College,Medical,Low,Male,Low,1.4142135623730951,Sales Executive,Very High,Divorced,8.365905077202456,148.65396059304982,2.449489742783178,Yes,3.741657386773941,Excellent,Very High,0.1944972395691917,1.4142135623730951,1.0,Good,1.4142135623730951,0.2857142857142857
1,30.0,Yes,Sales,4.0,Master,Marketing,Low,Male,High,1.7320508075688772,Sales Executive,High,Married,8.576216531865699,137.84774209249858,1.4142135623730951,No,3.6055512754639887,Outstanding,Low,0.27912851278812756,1.7320508075688772,2.0,Better,0.0,0.7999999999999999
2,42.0,No,Research & Development,1.0,Bachelor,Life Sciences,Very High,Male,High,1.0,Research Scientist,Very High,Married,7.925157512224701,146.32839779072276,1.7320508075688772,No,4.69041575982343,Outstanding,Low,0.1291798991219874,1.0,6.0,Better,1.7320508075688772,0.4166666666666668
3,40.0,No,Research & Development,2.449489742783178,Bachelor,Life Sciences,Low,Female,High,2.23606797749979,Research Director,High,Single,8.631414335506259,80.38656604184555,2.6457513110645907,No,3.6055512754639887,Excellent,High,0.8673785205818622,0.0,2.0,Better,4.242640687119285,0.8695652173913045
4,54.0,No,Research & Development,2.449489742783178,Master,Life Sciences,Low,Female,Very High,1.4142135623730951,Laboratory Technician,Low,Married,8.39840965542627,140.3958688850922,1.7320508075688772,Yes,3.6055512754639887,Excellent,Very High,0.22525493379331343,1.0,3.0,Better,1.4142135623730951,0.5555555555555556
5,45.0,No,Sales,5.291502622129181,Master,Life Sciences,Medium,Female,Medium,1.0,Sales Representative,High,Married,9.089866218508307,161.8764961320821,0.0,No,4.795831523312719,Excellent,Low,0.3383071286826436,1.4142135623730951,2.0,Better,1.7320508075688772,0.4166666666666668
6,37.0,No,Research & Development,2.23606797749979,Bachelor,Other,High,Male,High,2.23606797749979,Manager,High,Divorced,7.632401126601452,103.60984509205677,2.0,No,3.3166247903554,Excellent,Very High,0.19226828132277562,1.0,2.0,Good,3.6055512754639887,0.038461538461538464
8,41.0,No,Research & Development,3.1622776601683795,Below College,Medical,High,Male,High,1.7320508075688772,Research Director,High,Single,7.71333788887187,88.96066546513691,2.6457513110645907,No,4.58257569495584,Outstanding,High,0.28278999241849867,0.0,2.0,Better,1.7320508075688772,0.5555555555555556
9,18.0,No,Research & Development,3.0,Master,Other,High,Male,High,1.4142135623730951,Laboratory Technician,High,Divorced,7.258412150595308,151.98355174162762,1.7320508075688772,No,3.3166247903554,Excellent,High,0.06147452270661075,1.4142135623730951,2.0,Best,2.6457513110645907,0.0
10,22.0,No,Sales,3.0,Bachelor,Marketing,Very High,Female,High,1.4142135623730951,Sales Executive,Very High,Single,8.335911094196945,71.40728254176881,1.0,No,3.741657386773941,Excellent,Low,0.8180035301039416,0.0,3.0,Better,2.6457513110645907,0.4285714285714285
11,40.0,No,Sales,2.8284271247461903,Bachelor,Marketing,Low,Male,High,2.0,Sales Executive,Very High,Married,8.492080490601161,150.9602596712128,2.23606797749979,No,3.741657386773941,Excellent,High,0.2139628768265389,1.0,5.0,Better,0.0,0.10714285714285712
12,35.0,Yes,Research & Development,1.0,College,Life Sciences,Low,Male,Low,1.0,Research Scientist,Medium,Single,7.784889295655098,62.22539674441618,2.6457513110645907,Yes,3.6055512754639887,Excellent,Very High,0.6208677685950416,0.0,2.0,Better,2.6457513110645907,0.1
13,26.0,No,Research & Development,4.69041575982343,Bachelor,Life Sciences,Very High,Male,Low,1.0,Laboratory Technician,High,Single,8.464003362902119,138.6542462386205,0.0,No,3.8729833462074175,Excellent,High,0.24660598179453846,0.0,3.0,Better,2.0,0.8333333333333336
14,31.0,No,Research & Development,2.449489742783178,Bachelor,Life Sciences,High,Female,High,1.0,Laboratory Technician,Very High,Married,7.741533589281827,133.26289806243898,1.0,Yes,3.6055512754639887,Excellent,High,0.12962441578917722,1.0,2.0,Better,1.4142135623730951,1.0
16,31.0,No,Sales,4.795831523312719,Master,Marketing,Medium,Female,High,1.4142135623730951,Sales Executive,High,Single,8.336630087637149,100.16985574512924,0.0,No,4.47213595499958,Excellent,High,0.41598564879410105,0.0,3.0,Better,2.23606797749979,0.1
17,30.0,No,Research & Development,1.4142135623730951,College,Life Sciences,Very High,Male,High,1.4142135623730951,Manufacturing Director,High,Single,8.32239411311117,125.83322295800899,1.4142135623730951,No,3.3166247903554,Excellent,Very High,0.25988379436655273,0.0,3.0,Good,1.4142135623730951,0.7999999999999999
18,27.5,No,Sales,1.4142135623730951,Bachelor,Medical,Very High,Male,Medium,1.4142135623730951,Sales Executive,Medium,Married,7.2392149737798075,115.0782342582645,1.4142135623730951,No,3.741657386773941,MISSING,Very High,0.10518764630370779,0.0,2.0,Good,2.449489742783178,0.05882352941176471
19,53.0,No,Research & Development,2.23606797749979,Bachelor,Life Sciences,Very High,Female,Medium,1.7320508075688772,Healthcare Representative,Very High,Divorced,9.831239388328504,145.65026604850402,2.0,No,3.8729833462074175,Excellent,High,0.8770623173376068,1.0,6.0,Better,1.4142135623730951,0.7777777777777778
20,36.0,No,Research & Development,1.4142135623730951,Master,Life Sciences,Very High,Male,Medium,1.0,Research Scientist,High,Divorced,8.50532301884575,91.73875952943771,1.7320508075688772,No,3.4641016151377544,Outstanding,High,0.587096007604563,1.0,0.0,Better,1.7320508075688772,0.2142857142857144
21,57.5,No,Research & Development,3.1622776601683795,Bachelor,Other,High,Female,High,1.4142135623730951,Research Scientist,High,Single,8.80492526261806,88.9325587172662,1.7320508075688772,No,3.6055512754639887,Excellent,Very High,0.8429637122265768,0.0,6.0,Best,2.6457513110645907,0.4999999999999999
22,33.5,No,Research & Development,4.898979485566356,Bachelor,Life Sciences,Very High,Male,High,2.0,Manufacturing Director,High,Married,7.833203948641058,64.50581369148055,1.7320508075688772,Yes,4.242640687119285,MISSING,Very High,0.6063446286950256,1.0,2.0,Better,3.3166247903554,0.09090909090909093
24,31.0,Yes,Sales,2.23606797749979,Bachelor,Life Sciences,Medium,Male,High,1.7320508075688772,Sales Executive,Medium,Single,7.749753406274438,146.74467622370497,3.0,Yes,4.358898943540674,Outstanding,High,0.1077830407727316,0.0,0.0,Good,2.6457513110645907,0.29999999999999993
25,27.0,No,Sales,3.1622776601683795,Master,Medical,Very High,Male,High,2.0,Sales Executive,High,Single,8.019941687677365,156.2337991601049,0.0,No,3.6055512754639887,Excellent,High,0.12458519398582499,0.0,6.0,Good,3.1622776601683795,0.1052631578947368
26,39.0,No,Sales,1.4142135623730951,Doctor,Marketing,Medium,Male,High,1.4142135623730951,Sales Executive,Very High,Married,8.320691571048451,140.20698984002192,1.4142135623730951,No,3.741657386773941,Excellent,Low,0.2089734459253234,1.0,2.0,Better,2.6457513110645907,0.5000000000000002
27,47.0,No,Research & Development,1.4142135623730951,Master,Medical,Low,Male,High,2.0,Research Director,High,Married,7.632401126601452,163.41052597675585,1.7320508075688772,No,4.358898943540674,Excellent,Medium,0.07729468599033805,1.4142135623730951,3.0,Best,4.123105625617661,0.19230769230769235
29,36.0,No,Sales,1.7320508075688772,Master,Life Sciences,Medium,Male,High,1.4142135623730951,Sales Executive,Very High,Single,8.212839584676484,70.57619995437554,2.8284271247461903,Yes,3.4641016151377544,Excellent,High,0.7404135715719734,0.0,2.0,Better,0.0,0.05263157894736841
30,29.0,No,Research & Development,4.795831523312719,Bachelor,Medical,Medium,Male,High,1.4142135623730951,Laboratory Technician,Medium,Married,8.3707791729607,158.24980252752292,2.0,No,3.4641016151377544,Excellent,High,0.17246336301561307,1.0,1.0,Best,1.4142135623730951,0.5882352941176472
32,34.0,No,Sales,5.291502622129181,Bachelor,Marketing,Very High,Male,Medium,1.4142135623730951,Sales Executive,High,Married,8.302265794873367,94.75230867899737,1.0,No,4.58257569495584,Excellent,Very High,0.4492091779906434,1.4142135623730951,3.0,Better,2.6457513110645907,0.375
33,27.5,Yes,Research & Development,5.385164807134505,Master,Life Sciences,Low,Female,High,1.7320508075688772,Manager,Medium,Married,7.863266724009573,101.3311403271472,1.0,Yes,3.4641016151377544,Excellent,Very High,0.25321386832878834,1.0,2.0,Good,2.6457513110645907,0.1
34,41.0,No,Research & Development,2.6457513110645907,Bachelor,Life Sciences,Very High,Male,High,1.0,Laboratory Technician,Low,Single,9.035034150076132,139.22643427165693,1.7320508075688772,No,3.741657386773941,Excellent,Medium,0.43293437886917,0.0,2.0,Better,1.4142135623730951,0.9090909090909092
36,51.5,Yes,Research & Development,3.4641016151377544,Bachelor,Technical Degree,Medium,Male,High,2.23606797749979,Research Director,High,Married,9.442562587223595,127.59310326189264,1.0,No,3.4641016151377544,MISSING,Very High,0.7748157248157236,0.0,6.0,Better,3.8729833462074175,0.043478260869565216
38,38.0,No,Research & Development,5.291502622129181,Master,Life Sciences,High,Male,High,1.0,Research Scientist,Very High,Divorced,8.279950715722526,164.21936548409874,2.0,No,4.69041575982343,Excellent,Low,0.146247404331059,1.0,3.0,Better,2.23606797749979,0.2727272727272727
39,45.5,Yes,Sales,5.385164807134505,College,Medical,Medium,Male,Low,1.4142135623730951,Sales Executive,Low,Single,8.210939733379021,147.69224759614158,2.8284271247461903,No,4.242640687119285,Excellent,Very High,0.16875257873745025,0.0,2.0,Better,1.4142135623730951,0.4285714285714285
40,46.0,No,Research & Development,1.0,Master,Life Sciences,Medium,Male,Low,1.0,Research Scientist,Very High,Divorced,9.171495588152617,137.69168457100088,1.0,No,4.242640687119285,Excellent,Very High,0.5073579830159823,1.0,3.0,Better,2.6457513110645907,0.8999999999999999
41,41.0,No,Sales,1.7320508075688772,Master,Life Sciences,Very High,Male,High,1.7320508075688772,Sales Executive,Very High,Divorced,7.804251383528112,82.5348411278534,2.449489742783178,No,3.6055512754639887,Excellent,Medium,0.35980622431004095,1.0,2.0,Better,3.0,0.7500000000000001
42,36.0,No,Sales,3.1622776601683795,Bachelor,Medical,High,Male,Medium,1.4142135623730951,Sales Executive,High,Single,8.721602344674197,153.0130713370593,3.0,No,3.3166247903554,MISSING,High,0.26199120146926935,0.0,3.0,Better,1.4142135623730951,0.25
43,28.0,No,Research & Development,3.0,Doctor,Other,Medium,Male,Medium,1.0,Laboratory Technician,Very High,Single,7.903226808730732,87.29833904490967,0.0,No,4.123105625617661,Excellent,High,0.3550715129248126,0.0,3.0,Better,1.4142135623730951,0.7499999999999999
44,34.0,No,Research & Development,4.0,Bachelor,Medical,Very High,Male,High,1.0,Laboratory Technician,Low,Divorced,8.194781638443361,157.9271984174987,2.0,Yes,4.0,Excellent,Medium,0.14522272563249305,1.0,3.0,Good,1.4142135623730951,0.3529411764705882
45,56.0,No,Research & Development,4.58257569495584,Bachelor,Life Sciences,Medium,Female,Very High,1.0,Research Scientist,Low,Married,9.900633483553221,151.58166115991736,1.0,Yes,3.4641016151377544,MISSING,Low,0.8679549114331722,1.0,2.0,Good,2.6457513110645907,0.6249999999999999
46,44.0,No,Research & Development,1.7320508075688772,College,Medical,High,Male,Medium,1.4142135623730951,Laboratory Technician,High,Divorced,8.13739583005665,101.49876846543509,0.0,No,3.8729833462074175,Excellent,Very High,0.3319743739079789,1.0,3.0,Better,2.8284271247461903,0.4545454545454546
47,21.0,No,Sales,1.7320508075688772,Bachelor,Medical,Very High,Male,High,2.0,Sales Executive,High,Divorced,8.044626279767337,101.11874208078342,3.0,Yes,3.4641016151377544,Excellent,Very High,0.3048410757946211,1.4142135623730951,2.0,Good,1.4142135623730951,0.07142857142857144
48,26.0,No,Research & Development,2.6457513110645907,Master,Medical,Very High,Male,High,1.4142135623730951,Research Scientist,Very High,Married,8.607399459302387,125.28367810692659,2.0,No,3.8729833462074175,Excellent,Medium,0.3486238532110095,1.0,2.0,Good,1.0,0.5714285714285717
49,45.0,No,Sales,2.6457513110645907,Master,Marketing,Very High,Male,Medium,1.4142135623730951,Sales Executive,Very High,Single,8.54752839121231,88.26664149042944,0.0,No,4.47213595499958,MISSING,Low,0.6615325375433193,0.0,3.0,Better,2.6457513110645907,1.0
50,48.0,No,Research & Development,2.8284271247461903,College,Medical,High,Male,Very High,1.4142135623730951,Research Scientist,High,Married,9.812741939229383,148.86906999104946,2.23606797749979,No,3.4641016151377544,MISSING,High,0.8241584694522164,1.0,2.0,Good,1.7320508075688772,0.1111111111111111
52,27.5,No,Research & Development,1.0,Master,Medical,Medium,Female,Very High,2.0,Research Director,Very High,Divorced,8.4906438561827,111.41813137905338,1.4142135623730951,No,3.6055512754639887,Excellent,Very High,0.392218463025616,1.4142135623730951,3.0,Best,2.6457513110645907,0.12903225806451615
53,19.0,No,Research & Development,1.7320508075688772,College,Medical,Very High,Male,High,1.0,Laboratory Technician,Medium,Single,7.849323818040562,122.72734006732159,2.0,No,3.4641016151377544,Excellent,High,0.17022971716903482,0.0,3.0,Good,2.6457513110645907,0.07692307692307697
54,44.0,No,Research & Development,1.4142135623730951,Bachelor,Medical,High,Male,High,1.0,Laboratory Technician,Very High,Single,7.632401126601452,81.67006795638167,2.0,No,3.3166247903554,Outstanding,Very High,0.3094452773613189,0.0,3.0,Better,1.0,0.3571428571428571
55,27.5,Yes,Research & Development,1.4142135623730951,Master,Life Sciences,Medium,Male,Low,1.0,Laboratory Technician,Very High,Divorced,7.804251383528112,133.13526955694348,2.0,Yes,3.6055512754639887,Excellent,High,0.13827926657263745,1.0,3.0,Good,2.6457513110645907,0.1
56,51.0,No,Sales,3.6055512754639887,Below College,Medical,Medium,Male,High,1.0,Sales Representative,High,Married,9.268231850391961,162.4068964052943,1.0,No,3.3166247903554,Excellent,High,0.4017288444040041,0.0,5.0,Better,2.0,0.5714285714285713
59,33.0,Yes,Research & Development,5.291502622129181,College,Life Sciences,Low,Male,Medium,1.4142135623730951,Laboratory Technician,Low,Single,8.336630087637149,150.69837424471442,1.7320508075688772,No,4.47213595499958,Excellent,Low,0.18379568472038796,0.0,3.0,Better,1.7320508075688772,0.5000000000000001
60,28.0,No,Sales,2.449489742783178,Bachelor,Life Sciences,Very High,Female,High,1.7320508075688772,Manager,Very High,Single,7.83002808253384,121.13628688382354,1.7320508075688772,Yes,4.242640687119285,Excellent,High,0.17139157693880336,0.0,4.0,Better,0.0,0.0625
62,30.0,No,Sales,3.0,Bachelor,Marketing,High,Female,High,2.23606797749979,Manager,High,Married,7.632401126601452,139.71041478715895,2.0,Yes,4.0,Outstanding,High,0.10574312208617226,1.0,2.0,Better,0.0,0.1851851851851852
63,40.0,Yes,Research & Development,1.7320508075688772,Below College,Technical Degree,High,Female,High,1.0,Research Scientist,Low,Single,8.145549631783584,81.12952606788727,0.0,No,4.69041575982343,Outstanding,High,0.5238529322394413,0.0,2.0,Better,2.0,0.14285714285714282
64,29.0,No,Research & Development,4.795831523312719,Doctor,Life Sciences,Low,Male,High,2.0,Research Director,Very High,Single,8.245909264774092,126.09916732476864,1.4142135623730951,No,3.741657386773941,Excellent,Medium,0.2397333501037668,0.0,3.0,Better,0.0,0.6875
65,27.0,No,Research & Development,1.4142135623730951,Doctor,Medical,Very High,Male,High,1.0,Research Scientist,High,Married,7.70796153183549,143.0769023986751,2.449489742783178,Yes,3.6055512754639887,Excellent,Medium,0.10873919202774661,1.0,3.0,Bad,0.0,0.8333333333333336
66,46.0,No,Research & Development,3.1622776601683795,Bachelor,Life Sciences,High,Male,Very High,1.7320508075688772,Research Director,Very High,Married,9.056956065076825,124.38247464976729,1.0,Yes,5.0,Excellent,Low,0.5544567254863936,1.0,3.0,Better,3.3166247903554,0.5625
67,36.0,No,Research & Development,2.6457513110645907,Bachelor,Medical,Low,Male,High,1.0,Research Scientist,High,Married,8.336630087637149,141.77446878757826,2.0,Yes,4.358898943540674,Excellent,High,0.2076616915422891,1.0,3.0,Good,1.4142135623730951,0.5714285714285713
68,39.5,No,Research & Development,1.4142135623730951,Bachelor,Life Sciences,High,Male,Very High,1.7320508075688772,Healthcare Representative,Very High,Married,9.206031100388083,121.6963434126104,1.0,Yes,4.358898943540674,Excellent,Medium,0.6723160027008768,1.0,5.0,Better,2.6457513110645907,0.6666666666666665
69,36.0,No,Research & Development,5.0,Doctor,Medical,Medium,Male,High,1.4142135623730951,Research Scientist,High,Married,7.8800482009715775,154.48624534242526,1.7320508075688772,Yes,3.8729833462074175,Outstanding,Low,0.11078521746417501,1.4142135623730951,3.0,Better,3.3166247903554,0.2
70,23.0,No,Research & Development,2.8284271247461903,Master,Life Sciences,Low,Male,Very High,1.0,Laboratory Technician,Very High,Married,7.8811822022271025,71.02112361825881,1.4142135623730951,Yes,4.898979485566356,Excellent,High,0.5247819191118166,1.0,6.0,Good,1.4142135623730951,0.4999999999999999
72,37.0,No,Research & Development,1.0,Master,Life Sciences,High,Male,High,1.4142135623730951,Healthcare Representative,High,Divorced,9.522519916028351,161.97530676001205,1.0,No,4.58257569495584,Excellent,Low,0.5208110992529348,1.0,2.0,Good,3.4641016151377544,0.3846153846153848
73,22.0,No,Research & Development,1.4142135623730951,Bachelor,Medical,Medium,Female,Medium,1.4142135623730951,Laboratory Technician,High,Married,7.7160152666425885,115.9137610467368,2.449489742783178,No,4.69041575982343,Excellent,Medium,0.1670139922596014,1.0,1.0,Better,0.0,0.1
74,40.0,Yes,Sales,1.0,College,Life Sciences,Low,Female,Low,1.4142135623730951,Sales Executive,Medium,Single,8.353261499733874,110.21342930877344,2.449489742783178,No,3.8729833462074175,Outstanding,Medium,0.3493866798386433,0.0,2.0,Better,0.0,0.7999999999999999
75,33.0,No,Research & Development,1.0,Master,Medical,Very High,Female,High,2.23606797749979,Research Director,Very High,Divorced,8.413608875159667,146.44111444536333,3.0,No,4.123105625617661,Outstanding,Very High,0.21021217066915374,1.4142135623730951,4.0,Better,1.4142135623730951,0.5652173913043478
76,40.0,No,Research & Development,1.4142135623730951,College,Life Sciences,Very High,Female,High,1.0,Laboratory Technician,Very High,Single,9.259511415982633,108.92199043352082,0.0,No,3.6055512754639887,Excellent,High,0.8853674983142287,0.0,2.0,Good,2.6457513110645907,0.6249999999999999
78,48.0,No,Sales,4.358898943540674,Bachelor,Life Sciences,High,Male,Medium,1.4142135623730951,Sales Executive,High,Divorced,7.632401126601452,154.13305939998725,1.0,No,3.741657386773941,Excellent,High,0.08687965652228805,1.4142135623730951,2.0,Better,2.6457513110645907,0.0
79,22.0,No,Research & Development,5.0990195135927845,Below College,Life Sciences,Low,Male,High,1.0,Research Scientist,High,Divorced,7.9561263512135,123.16655390161728,1.0,No,4.123105625617661,Excellent,Very High,0.18806855636123943,1.0,5.0,Good,1.4142135623730951,0.0
80,47.0,No,Research & Development,1.0,Bachelor,Technical Degree,Low,Female,High,1.0,Laboratory Technician,Very High,Married,8.420021279663963,70.07139216541941,2.0,No,3.3166247903554,Outstanding,Medium,0.9240325865580441,1.0,6.0,Good,1.4142135623730951,1.0
81,35.0,No,Sales,1.0,Master,Marketing,High,Male,Medium,1.4142135623730951,Sales Executive,Low,Single,9.296793259706384,151.71025014810306,0.0,No,3.741657386773941,Excellent,Medium,0.4737139381299973,0.0,2.0,Better,3.6055512754639887,0.8124999999999998
82,26.0,No,Sales,1.7320508075688772,Bachelor,Medical,Low,Female,Medium,1.7320508075688772,Sales Executive,Very High,Married,8.332548939252638,112.67209059922514,0.0,No,4.358898943540674,Excellent,High,0.32745175265852705,1.4142135623730951,2.0,Better,2.6457513110645907,0.2
83,35.0,No,Research & Development,3.0,Bachelor,Medical,High,Female,High,2.0,Healthcare Representative,Very High,Married,7.998671361015776,142.89856542317,2.6457513110645907,No,3.3166247903554,Excellent,High,0.14578844270323213,0.0,5.0,Good,2.6457513110645907,0.13333333333333336
