Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,FractionYearsAtCompany
27.0,Yes,Sales,3.8729833462074175,College,Medical,Low,Male,Low,1.4142135623730951,Sales Executive,Very High,Divorced,8.365905077202456,148.65396059304982,2.449489742783178,Yes,3.7416573867739413,Excellent,Very High,1.4142135623730951,1.0,Good,1.4142135623730951,0.2857142857142857
30.0,Yes,Sales,4.0,Master,Marketing,Low,Male,High,1.7320508075688772,Sales Executive,High,Married,8.576216531865699,137.84774209249858,1.4142135623730951,No,3.6055512754639887,Outstanding,Low,1.7320508075688772,2.0,Better,0.0,0.7999999999999999
42.0,No,Research & Development,1.0,Bachelor,Life Sciences,Very High,Male,High,1.0,Research Scientist,Very High,Married,7.925157512224701,146.32839779072276,1.7320508075688772,No,4.69041575982343,Outstanding,Low,1.0,6.0,Better,1.7320508075688772,0.4166666666666668
40.0,No,Research & Development,2.449489742783178,Bachelor,Life Sciences,Low,Female,High,2.23606797749979,Research Director,High,Single,8.631414335506259,80.38656604184555,2.6457513110645907,No,3.6055512754639887,Excellent,High,0.0,2.0,Better,4.242640687119285,0.8695652173913045
54.0,No,Research & Development,2.449489742783178,Master,Life Sciences,Low,Female,Very High,1.4142135623730951,Laboratory Technician,Low,Married,8.39840965542627,140.3958688850922,1.7320508075688772,Yes,3.6055512754639887,Excellent,Very High,1.0,3.0,Better,1.4142135623730951,0.5555555555555556
45.0,No,Sales,5.291502622129181,Master,Life Sciences,Medium,Female,Medium,1.0,Sales Representative,High,Married,9.089866218508307,161.8764961320821,0.0,No,4.795831523312719,Excellent,Low,1.4142135623730951,2.0,Better,1.7320508075688772,0.4166666666666668
37.0,No,Research & Development,2.23606797749979,Bachelor,Other,High,Male,High,2.23606797749979,Manager,High,Divorced,7.632401126601452,103.60984509205677,2.0,No,3.3166247903554,Excellent,Very High,1.0,2.0,Good,3.6055512754639887,0.038461538461538464
33.5,No,Research & Development,3.7416573867739413,Bachelor,Life Sciences,Low,Female,High,1.0,Research Scientist,High,Divorced,8.792245847467878,67.88961628997471,2.0,No,3.4641016151377544,Excellent,Low,1.0,4.0,Better,2.8284271247461903,0.3846153846153848
41.0,No,Research & Development,3.1622776601683795,Below College,Medical,High,Male,High,1.7320508075688772,Research Director,High,Single,7.71333788887187,88.96066546513691,2.6457513110645907,No,4.58257569495584,Outstanding,High,0.0,2.0,Better,1.7320508075688772,0.5555555555555556
18.0,No,Research & Development,3.0,Master,Other,High,Male,High,1.4142135623730951,Laboratory Technician,High,Divorced,7.258412150595308,151.98355174162762,1.7320508075688772,No,3.3166247903554,Excellent,High,1.4142135623730951,2.0,Best,2.6457513110645907,0.0
