Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,RateIncome,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,FractionYearsAtCompany
27.0,Yes,Sales,3.8729833462074175,College,Medical,Low,Male,Low,1.4142135623730951,Sales Executive,Very High,Divorced,2.449489742783178,Yes,3.7416573867739413,Excellent,Very High,0.1944972395691917,1.4142135623730951,1.0,Good,1.4142135623730951,0.2857142857142857
30.0,Yes,Sales,4.0,Master,Marketing,Low,Male,High,1.7320508075688772,Sales Executive,High,Married,1.4142135623730951,No,3.6055512754639887,Outstanding,Low,0.2791285127881276,1.7320508075688772,2.0,Better,0.0,0.7999999999999999
42.0,No,Research & Development,1.0,Bachelor,Life Sciences,Very High,Male,High,1.0,Research Scientist,Very High,Married,1.7320508075688772,No,4.69041575982343,Outstanding,Low,0.1291798991219874,1.0,6.0,Better,1.7320508075688772,0.4166666666666668
40.0,No,Research & Development,2.449489742783178,Bachelor,Life Sciences,Low,Female,High,2.23606797749979,Research Director,High,Single,2.6457513110645907,No,3.6055512754639887,Excellent,High,0.8673785205818622,0.0,2.0,Better,4.242640687119285,0.8695652173913045
54.0,No,Research & Development,2.449489742783178,Master,Life Sciences,Low,Female,Very High,1.4142135623730951,Laboratory Technician,Low,Married,1.7320508075688772,Yes,3.6055512754639887,Excellent,Very High,0.22525493379331346,1.0,3.0,Better,1.4142135623730951,0.5555555555555556
45.0,No,Sales,5.291502622129181,Master,Life Sciences,Medium,Female,Medium,1.0,Sales Representative,High,Married,0.0,No,4.795831523312719,Excellent,Low,0.3383071286826436,1.4142135623730951,2.0,Better,1.7320508075688772,0.4166666666666668
37.0,No,Research & Development,2.23606797749979,Bachelor,Other,High,Male,High,2.23606797749979,Manager,High,Divorced,2.0,No,3.3166247903554,Excellent,Very High,0.1922682813227756,1.0,2.0,Good,3.6055512754639887,0.038461538461538464
41.0,No,Research & Development,3.1622776601683795,Below College,Medical,High,Male,High,1.7320508075688772,Research Director,High,Single,2.6457513110645907,No,4.58257569495584,Outstanding,High,0.2827899924184987,0.0,2.0,Better,1.7320508075688772,0.5555555555555556
18.0,No,Research & Development,3.0,Master,Other,High,Male,High,1.4142135623730951,Laboratory Technician,High,Divorced,1.7320508075688772,No,3.3166247903554,Excellent,High,0.06147452270661075,1.4142135623730951,2.0,Best,2.6457513110645907,0.0
22.0,No,Sales,3.0,Bachelor,Marketing,Very High,Female,High,1.4142135623730951,Sales Executive,Very High,Single,1.0,No,3.7416573867739413,Excellent,Low,0.8180035301039416,0.0,3.0,Better,2.6457513110645907,0.4285714285714285
40.0,No,Sales,2.8284271247461903,Bachelor,Marketing,Low,Male,High,2.0,Sales Executive,Very High,Married,2.23606797749979,No,3.7416573867739413,Excellent,High,0.2139628768265389,1.0,5.0,Better,0.0,0.10714285714285712
35.0,Yes,Research & Development,1.0,College,Life Sciences,Low,Male,Low,1.0,Research Scientist,Medium,Single,2.6457513110645907,Yes,3.6055512754639887,Excellent,Very High,0.6208677685950416,0.0,2.0,Better,2.6457513110645907,0.1
26.0,No,Research & Development,4.69041575982343,Bachelor,Life Sciences,Very High,Male,Low,1.0,Laboratory Technician,High,Single,0.0,No,3.8729833462074175,Excellent,High,0.2466059817945385,0.0,3.0,Better,2.0,0.8333333333333336
31.0,No,Research & Development,2.449489742783178,Bachelor,Life Sciences,High,Female,High,1.0,Laboratory Technician,Very High,Married,1.0,Yes,3.6055512754639887,Excellent,High,0.12962441578917722,1.0,2.0,Better,1.4142135623730951,1.0
31.0,No,Sales,4.795831523312719,Master,Marketing,Medium,Female,High,1.4142135623730951,Sales Executive,High,Single,0.0,No,4.47213595499958,Excellent,High,0.41598564879410105,0.0,3.0,Better,2.23606797749979,0.1
30.0,No,Research & Development,1.4142135623730951,College,Life Sciences,Very High,Male,High,1.4142135623730951,Manufacturing Director,High,Single,1.4142135623730951,No,3.3166247903554,Excellent,Very High,0.25988379436655273,0.0,3.0,Good,1.4142135623730951,0.7999999999999999
27.5,No,Sales,1.4142135623730951,Bachelor,Medical,Very High,Male,Medium,1.4142135623730951,Sales Executive,Medium,Married,1.4142135623730951,No,3.7416573867739413,MISSING,Very High,0.1051876463037078,0.0,2.0,Good,2.449489742783178,0.05882352941176471
53.0,No,Research & Development,2.23606797749979,Bachelor,Life Sciences,Very High,Female,Medium,1.7320508075688772,Healthcare Representative,Very High,Divorced,2.0,No,3.8729833462074175,Excellent,High,0.8770623173376068,1.0,6.0,Better,1.4142135623730951,0.7777777777777778
36.0,No,Research & Development,1.4142135623730951,Master,Life Sciences,Very High,Male,Medium,1.0,Research Scientist,High,Divorced,1.7320508075688772,No,3.4641016151377544,Outstanding,High,0.587096007604563,1.0,0.0,Better,1.7320508075688772,0.2142857142857144
57.5,No,Research & Development,3.1622776601683795,Bachelor,Other,High,Female,High,1.4142135623730951,Research Scientist,High,Single,1.7320508075688772,No,3.6055512754639887,Excellent,Very High,0.8429637122265768,0.0,6.0,Best,2.6457513110645907,0.4999999999999999
33.5,No,Research & Development,4.898979485566356,Bachelor,Life Sciences,Very High,Male,High,2.0,Manufacturing Director,High,Married,1.7320508075688772,Yes,4.242640687119285,MISSING,Very High,0.6063446286950256,1.0,2.0,Better,3.3166247903554,0.09090909090909093
31.0,Yes,Sales,2.23606797749979,Bachelor,Life Sciences,Medium,Male,High,1.7320508075688772,Sales Executive,Medium,Single,3.0,Yes,4.358898943540674,Outstanding,High,0.1077830407727316,0.0,0.0,Good,2.6457513110645907,0.29999999999999993
27.0,No,Sales,3.1622776601683795,Master,Medical,Very High,Male,High,2.0,Sales Executive,High,Single,0.0,No,3.6055512754639887,Excellent,High,0.124585193985825,0.0,6.0,Good,3.1622776601683795,0.1052631578947368
39.0,No,Sales,1.4142135623730951,Doctor,Marketing,Medium,Male,High,1.4142135623730951,Sales Executive,Very High,Married,1.4142135623730951,No,3.7416573867739413,Excellent,Low,0.2089734459253234,1.0,2.0,Better,2.6457513110645907,0.5000000000000002
47.0,No,Research & Development,1.4142135623730951,Master,Medical,Low,Male,High,2.0,Research Director,High,Married,1.7320508075688772,No,4.358898943540674,Excellent,Medium,0.07729468599033805,1.4142135623730951,3.0,Best,4.123105625617661,0.19230769230769235
36.0,No,Sales,1.7320508075688772,Master,Life Sciences,Medium,Male,High,1.4142135623730951,Sales Executive,Very High,Single,2.8284271247461903,Yes,3.4641016151377544,Excellent,High,0.7404135715719734,0.0,2.0,Better,0.0,0.05263157894736841
29.0,No,Research & Development,4.795831523312719,Bachelor,Medical,Medium,Male,High,1.4142135623730951,Laboratory Technician,Medium,Married,2.0,No,3.4641016151377544,Excellent,High,0.17246336301561307,1.0,1.0,Best,1.4142135623730951,0.5882352941176472
34.0,No,Sales,5.291502622129181,Bachelor,Marketing,Very High,Male,Medium,1.4142135623730951,Sales Executive,High,Married,1.0,No,4.58257569495584,Excellent,Very High,0.4492091779906434,1.4142135623730951,3.0,Better,2.6457513110645907,0.375
27.5,Yes,Research & Development,5.385164807134505,Master,Life Sciences,Low,Female,High,1.7320508075688772,Manager,Medium,Married,1.0,Yes,3.4641016151377544,Excellent,Very High,0.25321386832878834,1.0,2.0,Good,2.6457513110645907,0.1
41.0,No,Research & Development,2.6457513110645907,Bachelor,Life Sciences,Very High,Male,High,1.0,Laboratory Technician,Low,Single,1.7320508075688772,No,3.7416573867739413,Excellent,Medium,0.43293437886916997,0.0,2.0,Better,1.4142135623730951,0.9090909090909092
51.5,Yes,Research & Development,3.4641016151377544,Bachelor,Technical Degree,Medium,Male,High,2.23606797749979,Research Director,High,Married,1.0,No,3.4641016151377544,MISSING,Very High,0.7748157248157236,0.0,6.0,Better,3.8729833462074175,0.043478260869565216
38.0,No,Research & Development,5.291502622129181,Master,Life Sciences,High,Male,High,1.0,Research Scientist,Very High,Divorced,2.0,No,4.69041575982343,Excellent,Low,0.14624740433105898,1.0,3.0,Better,2.23606797749979,0.2727272727272727
45.5,Yes,Sales,5.385164807134505,College,Medical,Medium,Male,Low,1.4142135623730951,Sales Executive,Low,Single,2.8284271247461903,No,4.242640687119285,Excellent,Very High,0.16875257873745025,0.0,2.0,Better,1.4142135623730951,0.4285714285714285
46.0,No,Research & Development,1.0,Master,Life Sciences,Medium,Male,Low,1.0,Research Scientist,Very High,Divorced,1.0,No,4.242640687119285,Excellent,Very High,0.5073579830159823,1.0,3.0,Better,2.6457513110645907,0.8999999999999999
41.0,No,Sales,1.7320508075688772,Master,Life Sciences,Very High,Male,High,1.7320508075688772,Sales Executive,Very High,Divorced,2.449489742783178,No,3.6055512754639887,Excellent,Medium,0.3598062243100409,1.0,2.0,Better,3.0,0.7500000000000001
36.0,No,Sales,3.1622776601683795,Bachelor,Medical,High,Male,Medium,1.4142135623730951,Sales Executive,High,Single,3.0,No,3.3166247903554,MISSING,High,0.2619912014692693,0.0,3.0,Better,1.4142135623730951,0.25
28.0,No,Research & Development,3.0,Doctor,Other,Medium,Male,Medium,1.0,Laboratory Technician,Very High,Single,0.0,No,4.123105625617661,Excellent,High,0.3550715129248126,0.0,3.0,Better,1.4142135623730951,0.7499999999999999
34.0,No,Research & Development,4.0,Bachelor,Medical,Very High,Male,High,1.0,Laboratory Technician,Low,Divorced,2.0,Yes,4.0,Excellent,Medium,0.14522272563249305,1.0,3.0,Good,1.4142135623730951,0.3529411764705882
56.0,No,Research & Development,4.58257569495584,Bachelor,Life Sciences,Medium,Female,Very High,1.0,Research Scientist,Low,Married,1.0,Yes,3.4641016151377544,MISSING,Low,0.8679549114331722,1.0,2.0,Good,2.6457513110645907,0.6249999999999999
44.0,No,Research & Development,1.7320508075688772,College,Medical,High,Male,Medium,1.4142135623730951,Laboratory Technician,High,Divorced,0.0,No,3.8729833462074175,Excellent,Very High,0.3319743739079789,1.0,3.0,Better,2.8284271247461903,0.4545454545454546
21.0,No,Sales,1.7320508075688772,Bachelor,Medical,Very High,Male,High,2.0,Sales Executive,High,Divorced,3.0,Yes,3.4641016151377544,Excellent,Very High,0.3048410757946211,1.4142135623730951,2.0,Good,1.4142135623730951,0.07142857142857144
26.0,No,Research & Development,2.6457513110645907,Master,Medical,Very High,Male,High,1.4142135623730951,Research Scientist,Very High,Married,2.0,No,3.8729833462074175,Excellent,Medium,0.3486238532110095,1.0,2.0,Good,1.0,0.5714285714285717
45.0,No,Sales,2.6457513110645907,Master,Marketing,Very High,Male,Medium,1.4142135623730951,Sales Executive,Very High,Single,0.0,No,4.47213595499958,MISSING,Low,0.6615325375433193,0.0,3.0,Better,2.6457513110645907,1.0
48.0,No,Research & Development,2.8284271247461903,College,Medical,High,Male,Very High,1.4142135623730951,Research Scientist,High,Married,2.23606797749979,No,3.4641016151377544,MISSING,High,0.8241584694522164,1.0,2.0,Good,1.7320508075688772,0.1111111111111111
27.5,No,Research & Development,1.0,Master,Medical,Medium,Female,Very High,2.0,Research Director,Very High,Divorced,1.4142135623730951,No,3.6055512754639887,Excellent,Very High,0.392218463025616,1.4142135623730951,3.0,Best,2.6457513110645907,0.12903225806451615
19.0,No,Research & Development,1.7320508075688772,College,Medical,Very High,Male,High,1.0,Laboratory Technician,Medium,Single,2.0,No,3.4641016151377544,Excellent,High,0.17022971716903482,0.0,3.0,Good,2.6457513110645907,0.07692307692307697
44.0,No,Research & Development,1.4142135623730951,Bachelor,Medical,High,Male,High,1.0,Laboratory Technician,Very High,Single,2.0,No,3.3166247903554,Outstanding,Very High,0.3094452773613189,0.0,3.0,Better,1.0,0.3571428571428571
27.5,Yes,Research & Development,1.4142135623730951,Master,Life Sciences,Medium,Male,Low,1.0,Laboratory Technician,Very High,Divorced,2.0,Yes,3.6055512754639887,Excellent,High,0.13827926657263745,1.0,3.0,Good,2.6457513110645907,0.1
51.0,No,Sales,3.6055512754639887,Below College,Medical,Medium,Male,High,1.0,Sales Representative,High,Married,1.0,No,3.3166247903554,Excellent,High,0.4017288444040041,0.0,5.0,Better,2.0,0.5714285714285713
33.0,Yes,Research & Development,5.291502622129181,College,Life Sciences,Low,Male,Medium,1.4142135623730951,Laboratory Technician,Low,Single,1.7320508075688772,No,4.47213595499958,Excellent,Low,0.183795684720388,0.0,3.0,Better,1.7320508075688772,0.5000000000000001
28.0,No,Sales,2.449489742783178,Bachelor,Life Sciences,Very High,Female,High,1.7320508075688772,Manager,Very High,Single,1.7320508075688772,Yes,4.242640687119285,Excellent,High,0.17139157693880336,0.0,4.0,Better,0.0,0.0625
30.0,No,Sales,3.0,Bachelor,Marketing,High,Female,High,2.23606797749979,Manager,High,Married,2.0,Yes,4.0,Outstanding,High,0.10574312208617226,1.0,2.0,Better,0.0,0.1851851851851852
40.0,Yes,Research & Development,1.7320508075688772,Below College,Technical Degree,High,Female,High,1.0,Research Scientist,Low,Single,0.0,No,4.69041575982343,Outstanding,High,0.5238529322394413,0.0,2.0,Better,2.0,0.14285714285714282
29.0,No,Research & Development,4.795831523312719,Doctor,Life Sciences,Low,Male,High,2.0,Research Director,Very High,Single,1.4142135623730951,No,3.7416573867739413,Excellent,Medium,0.2397333501037668,0.0,3.0,Better,0.0,0.6875
27.0,No,Research & Development,1.4142135623730951,Doctor,Medical,Very High,Male,High,1.0,Research Scientist,High,Married,2.449489742783178,Yes,3.6055512754639887,Excellent,Medium,0.1087391920277466,1.0,3.0,Bad,0.0,0.8333333333333336
46.0,No,Research & Development,3.1622776601683795,Bachelor,Life Sciences,High,Male,Very High,1.7320508075688772,Research Director,Very High,Married,1.0,Yes,5.0,Excellent,Low,0.5544567254863936,1.0,3.0,Better,3.3166247903554,0.5625
36.0,No,Research & Development,2.6457513110645907,Bachelor,Medical,Low,Male,High,1.0,Research Scientist,High,Married,2.0,Yes,4.358898943540674,Excellent,High,0.2076616915422891,1.0,3.0,Good,1.4142135623730951,0.5714285714285713
39.5,No,Research & Development,1.4142135623730951,Bachelor,Life Sciences,High,Male,Very High,1.7320508075688772,Healthcare Representative,Very High,Married,1.0,Yes,4.358898943540674,Excellent,Medium,0.6723160027008768,1.0,5.0,Better,2.6457513110645907,0.6666666666666665
36.0,No,Research & Development,5.0,Doctor,Medical,Medium,Male,High,1.4142135623730951,Research Scientist,High,Married,1.7320508075688772,Yes,3.8729833462074175,Outstanding,Low,0.110785217464175,1.4142135623730951,3.0,Better,3.3166247903554,0.2
23.0,No,Research & Development,2.8284271247461903,Master,Life Sciences,Low,Male,Very High,1.0,Laboratory Technician,Very High,Married,1.4142135623730951,Yes,4.898979485566356,Excellent,High,0.5247819191118166,1.0,6.0,Good,1.4142135623730951,0.4999999999999999
37.0,No,Research & Development,1.0,Master,Life Sciences,High,Male,High,1.4142135623730951,Healthcare Representative,High,Divorced,1.0,No,4.58257569495584,Excellent,Low,0.5208110992529348,1.0,2.0,Good,3.4641016151377544,0.3846153846153848
22.0,No,Research & Development,1.4142135623730951,Bachelor,Medical,Medium,Female,Medium,1.4142135623730951,Laboratory Technician,High,Married,2.449489742783178,No,4.69041575982343,Excellent,Medium,0.1670139922596014,1.0,1.0,Better,0.0,0.1
40.0,Yes,Sales,1.0,College,Life Sciences,Low,Female,Low,1.4142135623730951,Sales Executive,Medium,Single,2.449489742783178,No,3.8729833462074175,Outstanding,Medium,0.3493866798386433,0.0,2.0,Better,0.0,0.7999999999999999
33.0,No,Research & Development,1.0,Master,Medical,Very High,Female,High,2.23606797749979,Research Director,Very High,Divorced,3.0,No,4.123105625617661,Outstanding,Very High,0.21021217066915374,1.4142135623730951,4.0,Better,1.4142135623730951,0.5652173913043478
40.0,No,Research & Development,1.4142135623730951,College,Life Sciences,Very High,Female,High,1.0,Laboratory Technician,Very High,Single,0.0,No,3.6055512754639887,Excellent,High,0.8853674983142287,0.0,2.0,Good,2.6457513110645907,0.6249999999999999
48.0,No,Sales,4.358898943540674,Bachelor,Life Sciences,High,Male,Medium,1.4142135623730951,Sales Executive,High,Divorced,1.0,No,3.7416573867739413,Excellent,High,0.08687965652228805,1.4142135623730951,2.0,Better,2.6457513110645907,0.0
22.0,No,Research & Development,5.0990195135927845,Below College,Life Sciences,Low,Male,High,1.0,Research Scientist,High,Divorced,1.0,No,4.123105625617661,Excellent,Very High,0.18806855636123945,1.0,5.0,Good,1.4142135623730951,0.0
47.0,No,Research & Development,1.0,Bachelor,Technical Degree,Low,Female,High,1.0,Laboratory Technician,Very High,Married,2.0,No,3.3166247903554,Outstanding,Medium,0.924032586558044,1.0,6.0,Good,1.4142135623730951,1.0
35.0,No,Sales,1.0,Master,Marketing,High,Male,Medium,1.4142135623730951,Sales Executive,Low,Single,0.0,No,3.7416573867739413,Excellent,Medium,0.4737139381299973,0.0,2.0,Better,3.6055512754639887,0.8124999999999998
26.0,No,Sales,1.7320508075688772,Bachelor,Medical,Low,Female,Medium,1.7320508075688772,Sales Executive,Very High,Married,0.0,No,4.358898943540674,Excellent,High,0.32745175265852705,1.4142135623730951,2.0,Better,2.6457513110645907,0.2
35.0,No,Research & Development,3.0,Bachelor,Medical,High,Female,High,2.0,Healthcare Representative,Very High,Married,2.6457513110645907,No,3.3166247903554,Excellent,High,0.14578844270323213,0.0,5.0,Good,2.6457513110645907,0.13333333333333336
27.0,No,Sales,1.0,College,Life Sciences,High,Male,Medium,1.4142135623730951,Sales Executive,Very High,Married,1.0,Yes,3.4641016151377544,MISSING,High,0.10620618021293177,1.0,0.0,Better,2.6457513110645907,0.5714285714285713
38.0,No,Research & Development,3.0,Master,Life Sciences,Low,Male,Very High,1.0,Laboratory Technician,Medium,Married,1.0,No,4.69041575982343,Outstanding,Medium,0.18423901277332766,0.0,3.0,Better,2.0,0.2
31.0,Yes,Sales,2.6457513110645907,College,Medical,Very High,Female,High,1.0,Sales Representative,High,Married,1.4142135623730951,Yes,3.3166247903554,Excellent,High,0.3883304940374792,1.4142135623730951,2.0,Better,2.6457513110645907,0.10526315789473684
38.0,No,Sales,1.0,College,Medical,Medium,Female,Low,1.4142135623730951,Sales Executive,Very High,Married,1.4142135623730951,Yes,4.69041575982343,Outstanding,High,0.40721765991109776,1.7320508075688772,4.0,Good,1.7320508075688772,0.6666666666666669
40.0,Yes,Sales,2.23606797749979,Bachelor,Technical Degree,Very High,Male,High,1.4142135623730951,Sales Representative,Very High,Married,1.7320508075688772,No,3.7416573867739413,Excellent,High,0.6188905547226378,1.0,3.0,Best,0.0,0.3684210526315789
37.0,No,Sales,1.0,College,Life Sciences,Low,Male,High,1.7320508075688772,Sales Executive,Very High,Married,1.7320508075688772,No,3.7416573867739413,MISSING,Very High,0.1655980543886802,1.0,2.0,Better,0.0,0.25
26.0,No,Human Resources,3.1622776601683795,Master,Human Resources,Medium,Female,Medium,2.23606797749979,Manager,Very High,Divorced,1.7320508075688772,No,3.8729833462074175,Excellent,Medium,0.3310010156867178,1.7320508075688772,3.0,Good,2.449489742783178,0.043478260869565216
47.0,No,Sales,4.47213595499958,Bachelor,Technical Degree,High,Male,High,1.0,Sales Representative,Very High,Married,1.0,No,3.8729833462074175,Excellent,Medium,0.16348953469208374,1.0,3.0,Better,1.0,0.0
36.0,No,Research & Development,2.449489742783178,Below College,Life Sciences,High,Male,Medium,2.0,Healthcare Representative,High,Married,1.4142135623730951,Yes,4.358898943540674,MISSING,Medium,0.2411603158256093,1.0,1.0,Better,3.3166247903554,0.1666666666666667
33.0,No,Sales,2.6457513110645907,Master,Marketing,Low,Male,High,1.7320508075688772,Sales Executive,Low,Married,1.4142135623730951,No,3.7416573867739413,Outstanding,Very High,0.5042889935967151,1.4142135623730951,0.0,Better,1.4142135623730951,0.22222222222222227
33.0,No,Research & Development,1.4142135623730951,Master,Life Sciences,High,Female,High,1.4142135623730951,Healthcare Representative,Very High,Married,1.0,No,3.6055512754639887,Excellent,Medium,0.6037075900664568,1.4142135623730951,4.0,Better,1.4142135623730951,0.29999999999999993
31.0,Yes,Research & Development,4.58257569495584,College,Medical,Very High,Male,High,1.4142135623730951,Healthcare Representative,Medium,Married,2.0,No,4.69041575982343,Excellent,Very High,0.3849843202361199,1.0,3.0,Best,2.6457513110645907,0.07692307692307697
26.0,No,Research & Development,4.898979485566356,Bachelor,Medical,Very High,Male,High,1.0,Laboratory Technician,Medium,Single,2.8284271247461903,No,4.69041575982343,Excellent,Very High,0.3186144484318927,0.0,3.0,Better,1.7320508075688772,0.5000000000000001
45.0,No,Sales,2.6457513110645907,Bachelor,Marketing,High,Male,High,1.4142135623730951,Sales Executive,Low,Divorced,2.0,No,3.3166247903554,Excellent,Low,0.26747328090340783,1.7320508075688772,2.0,Better,1.4142135623730951,0.5333333333333332
35.0,No,Research & Development,2.8284271247461903,Master,Life Sciences,High,Male,High,1.4142135623730951,Laboratory Technician,High,Single,2.6457513110645907,No,3.3166247903554,Excellent,High,0.3113795458425819,0.0,3.0,Better,0.0,0.5263157894736841
42.0,No,Human Resources,2.0,Bachelor,Life Sciences,High,Female,Low,1.7320508075688772,Human Resources,High,Married,2.0,No,4.58257569495584,MISSING,High,0.6908263836239574,1.4142135623730951,3.0,Best,0.0,0.5555555555555556
41.0,No,Sales,1.4142135623730951,Master,Life Sciences,High,Female,Medium,1.7320508075688772,Sales Executive,High,Married,2.449489742783178,No,3.3166247903554,Outstanding,Medium,0.4973784556720701,1.0,5.0,Better,2.0,0.3076923076923078
32.0,No,Research & Development,3.7416573867739413,Bachelor,Medical,High,Male,Medium,2.23606797749979,Research Director,High,Single,1.0,No,3.7416573867739413,Excellent,Low,0.2324441404468763,0.0,3.0,Best,2.6457513110645907,0.14285714285714282
38.0,No,Research & Development,4.242640687119285,Bachelor,Medical,Medium,Male,Low,1.4142135623730951,Healthcare Representative,Very High,Married,1.7320508075688772,Yes,4.0,MISSING,High,0.11589714332287357,1.0,2.0,Better,0.0,0.4666666666666666
36.0,No,Research & Development,2.449489742783178,Master,Other,Medium,Male,Medium,2.0,Research Director,Very High,Divorced,2.0,Yes,3.7416573867739413,MISSING,High,0.7727442905278911,1.0,2.0,Good,0.0,0.7619047619047621
29.0,No,Research & Development,1.7320508075688772,Master,Life Sciences,High,Male,Medium,1.0,Research Scientist,Very High,Married,1.7320508075688772,No,4.123105625617661,Excellent,Very High,0.1041017884153394,1.7320508075688772,1.0,Better,0.0,1.0
31.0,No,Research & Development,1.0,Master,Other,Very High,Female,High,1.0,Research Scientist,Low,Divorced,2.23606797749979,No,3.7416573867739413,Excellent,High,0.2699664760402289,1.4142135623730951,2.0,Better,1.7320508075688772,1.0
45.0,No,Research & Development,4.795831523312719,College,Medical,High,Female,Very High,1.4142135623730951,Laboratory Technician,Very High,Married,2.0,No,4.123105625617661,Excellent,High,0.4694060211554107,1.0,3.0,Better,1.4142135623730951,0.5882352941176472
39.5,No,Sales,1.4142135623730951,Master,Life Sciences,Low,Female,High,1.4142135623730951,Sales Executive,Very High,Married,1.0,No,4.47213595499958,Excellent,High,0.10563233918736373,1.0,3.0,Better,2.6457513110645907,0.14285714285714282
44.0,No,Research & Development,2.6457513110645907,Master,Medical,Low,Female,High,1.7320508075688772,Research Director,High,Single,2.0,No,3.6055512754639887,Excellent,Low,0.07961833874416027,0.0,5.0,Best,1.4142135623730951,0.46875
27.5,No,Research & Development,4.242640687119285,Master,Life Sciences,Low,Male,High,1.4142135623730951,Manufacturing Director,Very High,Single,1.4142135623730951,No,4.47213595499958,Excellent,Low,0.08882003614768895,0.0,2.0,Better,3.0,0.11111111111111112
