Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,RateIncome,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,FractionYearsAtCompany
Yes,Sales,15.000000000000005,College,Medical,0,1.0,0,2.0000000000000004,Sales Executive,Very High,0,5.999999999999999,1.0,13.999999999999995,Excellent,Very High,0.1944972395691917,2.0000000000000004,1.0,0,2.0000000000000004,0.2857142857142857
Yes,Sales,16.0,Master,Marketing,0,1.0,1,3.0,Sales Executive,High,1,2.0000000000000004,0.0,12.999999999999995,Outstanding,Low,0.2791285127881276,3.0,2.0,1,0.0,0.7999999999999999
No,Research & Development,1.0,Bachelor,Life Sciences,1,1.0,1,1.0,Research Scientist,Very High,1,3.0,0.0,22.0,Outstanding,Low,0.1291798991219874,1.0,6.0,1,3.0,0.4166666666666668
No,Research & Development,5.999999999999999,Bachelor,Life Sciences,0,0.0,1,5.000000000000001,Research Director,High,0,7.000000000000001,0.0,12.999999999999995,Excellent,High,0.8673785205818622,0.0,2.0,1,17.999999999999996,0.8695652173913045
No,Research & Development,5.999999999999999,Master,Life Sciences,0,0.0,1,2.0000000000000004,Laboratory Technician,Low,1,3.0,1.0,12.999999999999995,Excellent,Very High,0.22525493379331346,1.0,3.0,1,2.0000000000000004,0.5555555555555556
No,Sales,28.000000000000004,Master,Life Sciences,0,0.0,0,1.0,Sales Representative,High,1,0.0,0.0,23.0,Excellent,Low,0.3383071286826436,2.0000000000000004,2.0,1,3.0,0.4166666666666668
No,Research & Development,5.000000000000001,Bachelor,Other,1,1.0,1,5.000000000000001,Manager,High,0,4.0,0.0,11.0,Excellent,Very High,0.1922682813227756,1.0,2.0,0,12.999999999999995,0.038461538461538464
No,Research & Development,10.000000000000002,Below College,Medical,1,1.0,1,3.0,Research Director,High,0,7.000000000000001,0.0,21.0,Outstanding,High,0.2827899924184987,0.0,2.0,1,3.0,0.5555555555555556
No,Research & Development,9.0,Master,Other,1,1.0,1,2.0000000000000004,Laboratory Technician,High,0,3.0,0.0,11.0,Excellent,High,0.06147452270661075,2.0000000000000004,2.0,1,7.000000000000001,0.0
No,Sales,9.0,Bachelor,Marketing,1,0.0,1,2.0000000000000004,Sales Executive,Very High,0,1.0,0.0,13.999999999999995,Excellent,Low,0.8180035301039416,0.0,3.0,1,7.000000000000001,0.4285714285714285
No,Sales,8.000000000000002,Bachelor,Marketing,0,1.0,1,4.0,Sales Executive,Very High,1,5.000000000000001,0.0,13.999999999999995,Excellent,High,0.2139628768265389,1.0,5.0,1,0.0,0.10714285714285712
Yes,Research & Development,1.0,College,Life Sciences,0,1.0,0,1.0,Research Scientist,Medium,0,7.000000000000001,1.0,12.999999999999995,Excellent,Very High,0.6208677685950416,0.0,2.0,1,7.000000000000001,0.1
No,Research & Development,22.0,Bachelor,Life Sciences,1,1.0,0,1.0,Laboratory Technician,High,0,0.0,0.0,15.000000000000005,Excellent,High,0.2466059817945385,0.0,3.0,1,4.0,0.8333333333333336
No,Research & Development,5.999999999999999,Bachelor,Life Sciences,1,0.0,1,1.0,Laboratory Technician,Very High,1,1.0,1.0,12.999999999999995,Excellent,High,0.12962441578917722,1.0,2.0,1,2.0000000000000004,1.0
No,Sales,23.0,Master,Marketing,0,0.0,1,2.0000000000000004,Sales Executive,High,0,0.0,0.0,20.000000000000004,Excellent,High,0.41598564879410105,0.0,3.0,1,5.000000000000001,0.1
No,Research & Development,2.0000000000000004,College,Life Sciences,1,1.0,1,2.0000000000000004,Manufacturing Director,High,0,2.0000000000000004,0.0,11.0,Excellent,Very High,0.25988379436655273,0.0,3.0,0,2.0000000000000004,0.7999999999999999
No,Sales,2.0000000000000004,Bachelor,Medical,1,1.0,0,2.0000000000000004,Sales Executive,Medium,1,2.0000000000000004,0.0,13.999999999999995,MISSING,Very High,0.1051876463037078,0.0,2.0,0,5.999999999999999,0.05882352941176471
No,Research & Development,5.000000000000001,Bachelor,Life Sciences,1,0.0,0,3.0,Healthcare Representative,Very High,0,4.0,0.0,15.000000000000005,Excellent,High,0.8770623173376068,1.0,6.0,1,2.0000000000000004,0.7777777777777778
No,Research & Development,2.0000000000000004,Master,Life Sciences,1,1.0,0,1.0,Research Scientist,High,0,3.0,0.0,11.999999999999998,Outstanding,High,0.587096007604563,1.0,0.0,1,3.0,0.2142857142857144
No,Research & Development,10.000000000000002,Bachelor,Other,1,0.0,1,2.0000000000000004,Research Scientist,High,0,3.0,0.0,12.999999999999995,Excellent,Very High,0.8429637122265768,0.0,6.0,1,7.000000000000001,0.4999999999999999
No,Research & Development,24.0,Bachelor,Life Sciences,1,1.0,1,4.0,Manufacturing Director,High,1,3.0,1.0,17.999999999999996,MISSING,Very High,0.6063446286950256,1.0,2.0,1,11.0,0.09090909090909093
Yes,Sales,5.000000000000001,Bachelor,Life Sciences,0,1.0,1,3.0,Sales Executive,Medium,0,9.0,1.0,19.000000000000004,Outstanding,High,0.1077830407727316,0.0,0.0,0,7.000000000000001,0.29999999999999993
No,Sales,10.000000000000002,Master,Medical,1,1.0,1,4.0,Sales Executive,High,0,0.0,0.0,12.999999999999995,Excellent,High,0.124585193985825,0.0,6.0,0,10.000000000000002,0.1052631578947368
No,Sales,2.0000000000000004,Doctor,Marketing,0,1.0,1,2.0000000000000004,Sales Executive,Very High,1,2.0000000000000004,0.0,13.999999999999995,Excellent,Low,0.2089734459253234,1.0,2.0,1,7.000000000000001,0.5000000000000002
No,Research & Development,2.0000000000000004,Master,Medical,0,1.0,1,4.0,Research Director,High,1,3.0,0.0,19.000000000000004,Excellent,Medium,0.07729468599033805,2.0000000000000004,3.0,1,17.0,0.19230769230769235
No,Sales,3.0,Master,Life Sciences,0,1.0,1,2.0000000000000004,Sales Executive,Very High,0,8.000000000000002,1.0,11.999999999999998,Excellent,High,0.7404135715719734,0.0,2.0,1,0.0,0.05263157894736841
No,Research & Development,23.0,Bachelor,Medical,0,1.0,1,2.0000000000000004,Laboratory Technician,Medium,1,4.0,0.0,11.999999999999998,Excellent,High,0.17246336301561307,1.0,1.0,1,2.0000000000000004,0.5882352941176472
No,Sales,28.000000000000004,Bachelor,Marketing,1,1.0,0,2.0000000000000004,Sales Executive,High,1,1.0,0.0,21.0,Excellent,Very High,0.4492091779906434,2.0000000000000004,3.0,1,7.000000000000001,0.375
Yes,Research & Development,29.00000000000001,Master,Life Sciences,0,0.0,1,3.0,Manager,Medium,1,1.0,1.0,11.999999999999998,Excellent,Very High,0.25321386832878834,1.0,2.0,0,7.000000000000001,0.1
No,Research & Development,7.000000000000001,Bachelor,Life Sciences,1,1.0,1,1.0,Laboratory Technician,Low,0,3.0,0.0,13.999999999999995,Excellent,Medium,0.43293437886916997,0.0,2.0,1,2.0000000000000004,0.9090909090909092
Yes,Research & Development,11.999999999999998,Bachelor,Technical Degree,0,1.0,1,5.000000000000001,Research Director,High,1,1.0,0.0,11.999999999999998,MISSING,Very High,0.7748157248157236,0.0,6.0,1,15.000000000000005,0.043478260869565216
No,Research & Development,28.000000000000004,Master,Life Sciences,1,1.0,1,1.0,Research Scientist,Very High,0,4.0,0.0,22.0,Excellent,Low,0.14624740433105898,1.0,3.0,1,5.000000000000001,0.2727272727272727
Yes,Sales,29.00000000000001,College,Medical,0,1.0,0,2.0000000000000004,Sales Executive,Low,0,8.000000000000002,0.0,17.999999999999996,Excellent,Very High,0.16875257873745025,0.0,2.0,1,2.0000000000000004,0.4285714285714285
No,Research & Development,1.0,Master,Life Sciences,0,1.0,0,1.0,Research Scientist,Very High,0,1.0,0.0,17.999999999999996,Excellent,Very High,0.5073579830159823,1.0,3.0,1,7.000000000000001,0.8999999999999999
No,Sales,3.0,Master,Life Sciences,1,1.0,1,3.0,Sales Executive,Very High,0,5.999999999999999,0.0,12.999999999999995,Excellent,Medium,0.3598062243100409,1.0,2.0,1,9.0,0.7500000000000001
No,Sales,10.000000000000002,Bachelor,Medical,1,1.0,0,2.0000000000000004,Sales Executive,High,0,9.0,0.0,11.0,MISSING,High,0.2619912014692693,0.0,3.0,1,2.0000000000000004,0.25
No,Research & Development,9.0,Doctor,Other,0,1.0,0,1.0,Laboratory Technician,Very High,0,0.0,0.0,17.0,Excellent,High,0.3550715129248126,0.0,3.0,1,2.0000000000000004,0.7499999999999999
No,Research & Development,16.0,Bachelor,Medical,1,1.0,1,1.0,Laboratory Technician,Low,0,4.0,1.0,16.0,Excellent,Medium,0.14522272563249305,1.0,3.0,0,2.0000000000000004,0.3529411764705882
No,Research & Development,21.0,Bachelor,Life Sciences,0,0.0,1,1.0,Research Scientist,Low,1,1.0,1.0,11.999999999999998,MISSING,Low,0.8679549114331722,1.0,2.0,0,7.000000000000001,0.6249999999999999
No,Research & Development,3.0,College,Medical,1,1.0,0,2.0000000000000004,Laboratory Technician,High,0,0.0,0.0,15.000000000000005,Excellent,Very High,0.3319743739079789,1.0,3.0,1,8.000000000000002,0.4545454545454546
No,Sales,3.0,Bachelor,Medical,1,1.0,1,4.0,Sales Executive,High,0,9.0,1.0,11.999999999999998,Excellent,Very High,0.3048410757946211,2.0000000000000004,2.0,0,2.0000000000000004,0.07142857142857144
No,Research & Development,7.000000000000001,Master,Medical,1,1.0,1,2.0000000000000004,Research Scientist,Very High,1,4.0,0.0,15.000000000000005,Excellent,Medium,0.3486238532110095,1.0,2.0,0,1.0,0.5714285714285717
No,Sales,7.000000000000001,Master,Marketing,1,1.0,0,2.0000000000000004,Sales Executive,Very High,0,0.0,0.0,20.000000000000004,MISSING,Low,0.6615325375433193,0.0,3.0,1,7.000000000000001,1.0
No,Research & Development,8.000000000000002,College,Medical,1,1.0,1,2.0000000000000004,Research Scientist,High,1,5.000000000000001,0.0,11.999999999999998,MISSING,High,0.8241584694522164,1.0,2.0,0,3.0,0.1111111111111111
No,Research & Development,1.0,Master,Medical,0,0.0,1,4.0,Research Director,Very High,0,2.0000000000000004,0.0,12.999999999999995,Excellent,Very High,0.392218463025616,2.0000000000000004,3.0,1,7.000000000000001,0.12903225806451615
No,Research & Development,3.0,College,Medical,1,1.0,1,1.0,Laboratory Technician,Medium,0,4.0,0.0,11.999999999999998,Excellent,High,0.17022971716903482,0.0,3.0,0,7.000000000000001,0.07692307692307697
No,Research & Development,2.0000000000000004,Bachelor,Medical,1,1.0,1,1.0,Laboratory Technician,Very High,0,4.0,0.0,11.0,Outstanding,Very High,0.3094452773613189,0.0,3.0,1,1.0,0.3571428571428571
Yes,Research & Development,2.0000000000000004,Master,Life Sciences,0,1.0,0,1.0,Laboratory Technician,Very High,0,4.0,1.0,12.999999999999995,Excellent,High,0.13827926657263745,1.0,3.0,0,7.000000000000001,0.1
No,Sales,12.999999999999995,Below College,Medical,0,1.0,1,1.0,Sales Representative,High,1,1.0,0.0,11.0,Excellent,High,0.4017288444040041,0.0,5.0,1,4.0,0.5714285714285713
Yes,Research & Development,28.000000000000004,College,Life Sciences,0,1.0,0,2.0000000000000004,Laboratory Technician,Low,0,3.0,0.0,20.000000000000004,Excellent,Low,0.183795684720388,0.0,3.0,1,3.0,0.5000000000000001
No,Sales,5.999999999999999,Bachelor,Life Sciences,1,0.0,1,3.0,Manager,Very High,0,3.0,1.0,17.999999999999996,Excellent,High,0.17139157693880336,0.0,4.0,1,0.0,0.0625
No,Sales,9.0,Bachelor,Marketing,1,0.0,1,5.000000000000001,Manager,High,1,4.0,1.0,16.0,Outstanding,High,0.10574312208617226,1.0,2.0,1,0.0,0.1851851851851852
Yes,Research & Development,3.0,Below College,Technical Degree,1,0.0,1,1.0,Research Scientist,Low,0,0.0,0.0,22.0,Outstanding,High,0.5238529322394413,0.0,2.0,1,4.0,0.14285714285714282
No,Research & Development,23.0,Doctor,Life Sciences,0,1.0,1,4.0,Research Director,Very High,0,2.0000000000000004,0.0,13.999999999999995,Excellent,Medium,0.2397333501037668,0.0,3.0,1,0.0,0.6875
No,Research & Development,2.0000000000000004,Doctor,Medical,1,1.0,1,1.0,Research Scientist,High,1,5.999999999999999,1.0,12.999999999999995,Excellent,Medium,0.1087391920277466,1.0,3.0,0,0.0,0.8333333333333336
No,Research & Development,10.000000000000002,Bachelor,Life Sciences,1,1.0,1,3.0,Research Director,Very High,1,1.0,1.0,25.0,Excellent,Low,0.5544567254863936,1.0,3.0,1,11.0,0.5625
No,Research & Development,7.000000000000001,Bachelor,Medical,0,1.0,1,1.0,Research Scientist,High,1,4.0,1.0,19.000000000000004,Excellent,High,0.2076616915422891,1.0,3.0,0,2.0000000000000004,0.5714285714285713
No,Research & Development,2.0000000000000004,Bachelor,Life Sciences,1,1.0,1,3.0,Healthcare Representative,Very High,1,1.0,1.0,19.000000000000004,Excellent,Medium,0.6723160027008768,1.0,5.0,1,7.000000000000001,0.6666666666666665
No,Research & Development,25.0,Doctor,Medical,0,1.0,1,2.0000000000000004,Research Scientist,High,1,3.0,1.0,15.000000000000005,Outstanding,Low,0.110785217464175,2.0000000000000004,3.0,1,11.0,0.2
No,Research & Development,8.000000000000002,Master,Life Sciences,0,1.0,1,1.0,Laboratory Technician,Very High,1,2.0000000000000004,1.0,24.0,Excellent,High,0.5247819191118166,1.0,6.0,0,2.0000000000000004,0.4999999999999999
No,Research & Development,1.0,Master,Life Sciences,1,1.0,1,2.0000000000000004,Healthcare Representative,High,0,1.0,0.0,21.0,Excellent,Low,0.5208110992529348,1.0,2.0,0,11.999999999999998,0.3846153846153848
No,Research & Development,2.0000000000000004,Bachelor,Medical,0,0.0,0,2.0000000000000004,Laboratory Technician,High,1,5.999999999999999,0.0,22.0,Excellent,Medium,0.1670139922596014,1.0,1.0,1,0.0,0.1
Yes,Sales,1.0,College,Life Sciences,0,0.0,0,2.0000000000000004,Sales Executive,Medium,0,5.999999999999999,0.0,15.000000000000005,Outstanding,Medium,0.3493866798386433,0.0,2.0,1,0.0,0.7999999999999999
No,Research & Development,1.0,Master,Medical,1,0.0,1,5.000000000000001,Research Director,Very High,0,9.0,0.0,17.0,Outstanding,Very High,0.21021217066915374,2.0000000000000004,4.0,1,2.0000000000000004,0.5652173913043478
No,Research & Development,2.0000000000000004,College,Life Sciences,1,0.0,1,1.0,Laboratory Technician,Very High,0,0.0,0.0,12.999999999999995,Excellent,High,0.8853674983142287,0.0,2.0,0,7.000000000000001,0.6249999999999999
No,Sales,19.000000000000004,Bachelor,Life Sciences,1,1.0,0,2.0000000000000004,Sales Executive,High,0,1.0,0.0,13.999999999999995,Excellent,High,0.08687965652228805,2.0000000000000004,2.0,1,7.000000000000001,0.0
No,Research & Development,26.0,Below College,Life Sciences,0,1.0,1,1.0,Research Scientist,High,0,1.0,0.0,17.0,Excellent,Very High,0.18806855636123945,1.0,5.0,0,2.0000000000000004,0.0
No,Research & Development,1.0,Bachelor,Technical Degree,0,0.0,1,1.0,Laboratory Technician,Very High,1,4.0,0.0,11.0,Outstanding,Medium,0.924032586558044,1.0,6.0,0,2.0000000000000004,1.0
No,Sales,1.0,Master,Marketing,1,1.0,0,2.0000000000000004,Sales Executive,Low,0,0.0,0.0,13.999999999999995,Excellent,Medium,0.4737139381299973,0.0,2.0,1,12.999999999999995,0.8124999999999998
No,Sales,3.0,Bachelor,Medical,0,0.0,0,3.0,Sales Executive,Very High,1,0.0,0.0,19.000000000000004,Excellent,High,0.32745175265852705,2.0000000000000004,2.0,1,7.000000000000001,0.2
No,Research & Development,9.0,Bachelor,Medical,1,0.0,1,4.0,Healthcare Representative,Very High,1,7.000000000000001,0.0,11.0,Excellent,High,0.14578844270323213,0.0,5.0,0,7.000000000000001,0.13333333333333336
No,Sales,1.0,College,Life Sciences,1,1.0,0,2.0000000000000004,Sales Executive,Very High,1,1.0,1.0,11.999999999999998,MISSING,High,0.10620618021293177,1.0,0.0,1,7.000000000000001,0.5714285714285713
No,Research & Development,9.0,Master,Life Sciences,0,1.0,1,1.0,Laboratory Technician,Medium,1,1.0,0.0,22.0,Outstanding,Medium,0.1842390127733277,0.0,3.0,1,4.0,0.2
