Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
27.0,Yes,Sales,15.000000000000005,College,Medical,0,1.0,0,2.0000000000000004,Sales Executive,Very High,0,4298.0,22098.00000000001,5.999999999999999,1.0,14.0,Excellent,Very High,2.0000000000000004,7.000000000000001,1.0,0,2.0000000000000004,2.0000000000000004,2.0000000000000004,2.0000000000000004
30.0,Yes,Sales,16.0,Master,Marketing,0,1.0,1,3.0,Sales Executive,High,1,5304.000000000001,19002.000000000004,2.0000000000000004,0.0,12.999999999999995,Outstanding,Low,3.0,10.000000000000002,2.0,1,8.000000000000002,0.0,0.0,0.0
56.0,No,Research & Development,2.0000000000000004,Master,Technical Degree,1,1.0,1,2.0000000000000004,Manufacturing Director,Very High,0,6306.0000000000155,17432.999999999993,2.0000000000000004,0.0,11.0,Outstanding,High,1.0,11.999999999999998,2.0,0,12.999999999999995,3.0,1.0,4.0
41.0,Yes,Human Resources,17.999999999999996,Doctor,Human Resources,1,1.0,1,1.0,Human Resources,Low,1,6430.000000000006,21495.0,0.0,0.0,17.0,Excellent,High,0.0,2.0000000000000004,4.0,1,3.0,0.0,0.0,0.0
42.0,No,Sales,7.000000000000001,Bachelor,Life Sciences,1,1.0,0,3.0,Manager,Very High,0,4331.999999999995,25291.000000000004,9.0,0.0,21.0,Excellent,High,1.0,10.000000000000002,2.0,0,20.000000000000004,4.0,0.0,1.0
40.0,No,Research & Development,5.999999999999999,Bachelor,Life Sciences,0,0.0,1,5.000000000000001,Research Director,High,0,5604.999999999992,6461.999999999997,7.000000000000001,0.0,12.999999999999995,Excellent,High,0.0,23.0,2.0,1,20.000000000000004,17.999999999999996,15.000000000000005,15.000000000000005
54.0,No,Research & Development,5.999999999999999,Master,Life Sciences,0,0.0,1,2.0000000000000004,Laboratory Technician,Low,1,4440.000000000001,19711.0,3.0,1.0,12.999999999999995,Excellent,Very High,1.0,9.0,3.0,1,5.000000000000001,2.0000000000000004,0.0,2.0000000000000004
45.0,No,Sales,28.000000000000004,Master,Life Sciences,0,0.0,0,1.0,Sales Representative,High,1,8864.99999999999,26203.999999999996,0.0,0.0,23.0,Excellent,Low,2.0000000000000004,5.999999999999999,2.0,1,2.5000000000000004,3.0,4.0,2.0000000000000004
37.0,No,Research & Development,5.000000000000001,Bachelor,Other,1,1.0,1,5.000000000000001,Manager,High,0,2063.999999999997,10735.000000000002,4.0,0.0,11.0,Excellent,Very High,1.0,26.0,2.0,0,1.0,12.999999999999995,4.0,8.000000000000002
33.5,No,Research & Development,14.0,Bachelor,Life Sciences,0,0.0,1,1.0,Research Scientist,High,0,6583.000000000011,4609.0,4.0,0.0,11.999999999999998,Excellent,Low,1.0,12.999999999999995,4.0,1,5.000000000000001,8.000000000000002,1.0,8.000000000000002
41.0,No,Research & Development,10.000000000000002,Below College,Medical,1,1.0,1,3.0,Research Director,High,0,2237.9999999999995,7914.000000000004,7.000000000000001,0.0,21.0,Outstanding,High,0.0,9.0,2.0,1,5.000000000000001,3.0,2.0000000000000004,2.0000000000000004
18.0,No,Research & Development,9.0,Master,Other,1,1.0,1,2.0000000000000004,Laboratory Technician,High,0,1420.0000000000018,23099.0,3.0,0.0,11.0,Excellent,High,2.0000000000000004,11.0,2.0,1,0.0,7.000000000000001,0.0,7.000000000000001
22.0,No,Sales,9.0,Bachelor,Marketing,1,0.0,1,2.0000000000000004,Sales Executive,Very High,0,4170.999999999998,5099.0,1.0,0.0,14.0,Excellent,Low,0.0,7.000000000000001,3.0,1,3.0,7.000000000000001,0.0,7.000000000000001
34.0,No,Sales,10.000000000000002,Master,Medical,0,0.0,1,3.0,Sales Executive,Very High,0,6687.0000000000155,15318.000000000007,1.0,0.0,14.0,MISSING,Very High,0.0,10.000000000000002,2.0,0,14.0,3.0,9.0,7.000000000000001
47.0,Yes,Research & Development,29.00000000000001,Below College,Medical,0,0.0,1,2.0000000000000004,Healthcare Representative,Low,1,13769.999999999973,11354.000000000002,7.000000000000001,1.0,19.000000000000004,Excellent,Medium,0.0,17.0,2.0,1,22.0,0.0,0.0,0.0
33.0,Yes,Research & Development,15.000000000000005,Bachelor,Medical,1,0.0,1,1.0,Laboratory Technician,High,1,6284.000000000003,6232.999999999997,1.0,0.0,11.999999999999998,MISSING,High,1.0,2.0000000000000004,2.0,0,10.000000000000002,2.0000000000000004,2.0000000000000004,2.0000000000000004
35.0,Yes,Research & Development,1.0,College,Life Sciences,0,1.0,0,1.0,Research Scientist,Medium,0,2404.0000000000005,3872.0,7.000000000000001,1.0,12.999999999999995,Excellent,Very High,0.0,10.000000000000002,2.0,1,1.0,7.000000000000001,3.0,7.000000000000001
26.0,No,Research & Development,22.0,Bachelor,Life Sciences,1,1.0,0,1.0,Laboratory Technician,High,0,4741.000000000003,19225.000000000004,0.0,0.0,15.000000000000005,Excellent,High,0.0,5.999999999999999,3.0,1,5.000000000000001,4.0,4.0,3.0
31.0,No,Research & Development,5.999999999999999,Bachelor,Life Sciences,1,0.0,1,1.0,Laboratory Technician,Very High,1,2301.9999999999986,17759.000000000004,1.0,1.0,12.999999999999995,Excellent,High,1.0,3.0,2.0,1,3.0,2.0000000000000004,0.0,2.0000000000000004
26.0,No,Research & Development,5.000000000000001,Master,Life Sciences,0,1.0,0,1.0,Research Scientist,Low,1,4420.0,13071.999999999995,9.0,1.0,14.0,Outstanding,Very High,1.0,5.999999999999999,2.0,1,8.000000000000002,1.0,0.0,0.0
55.0,Yes,Research & Development,23.0,College,Life Sciences,0,1.0,0,2.0000000000000004,Manufacturing Director,High,1,5415.0,15497.0,3.0,1.0,12.999999999999995,Excellent,Low,0.0,8.000000000000002,4.0,1,10.000000000000002,0.0,0.0,1.0
31.0,No,Sales,23.0,Master,Marketing,0,0.0,1,2.0000000000000004,Sales Executive,High,0,4174.000000000011,10034.000000000002,0.0,0.0,20.000000000000004,Excellent,High,0.0,10.000000000000002,3.0,1,1.0,5.000000000000001,8.000000000000002,7.000000000000001
30.0,No,Research & Development,2.0000000000000004,College,Life Sciences,1,1.0,1,2.0000000000000004,Manufacturing Director,High,0,4114.999999999995,15834.0,2.0000000000000004,0.0,11.0,Excellent,Very High,0.0,5.000000000000001,3.0,0,4.0,2.0000000000000004,0.0,2.0000000000000004
